"municipio","valor","unidade","populacao_area_risco","populacao_total","tipo_do_numero","evidencia","confianca","erro"
"Pantano Grande","vermelho","semáforo (verde/vermelho)","N/A","10212","populacao total","Top of the page shows basic municipal data: name, population (10,212) ...","alta",""
"Paraíso do Sul","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Seção ""4. Áreas de Risco do Município"" lista locais de risco (ex.: ""RUA FRANCISCO FICK — EXISTENTE TRANSBORDO — ARROIO PRÓXIMO"", ""VILA NOVA — EXISTENTE TRANSBORDO — ARROIO PRÓXIMO"") sem indicação de número de residentes em áreas de risco","alta",""
"Pareci Novo","vermelho","semáforo (verde/vermelho)","N/A","4319","populacao total","Resumo municipal: população estimada 4.319 (IBGE 2022). Documento lista ""ÁREAS DE RISCO DO MUNICÍPIO"" com localidades e riscos, mas não declara número de residentes em áreas de risco.","alta",""
"Parobé","vermelho","semáforo (verde/vermelho)","N/A","52000","populacao total","População: 52000 Área: 104 km²","alta",""
"Passa Sete","vermelho","semáforo (verde/vermelho)","N/A","3983","populacao total","população 3,983; área urbana total — riscos: estiagem, vendaval, granizo; observação: 5% do território do município.","alta",""
"Passo Fundo","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento apresenta números de ""Nº de residências"" e ""N° de afetados"" por cenários (ex.: ""Nº de residências: 120""; ""N° de afetados: 480""), bem como populações em instalações/áreas industriais (ex.: ""População: 2.574 pessoas.""), mas não declara explicitamente um número/estimativa de pessoas que RESIDEM em áreas de risco do município.","alta",""
"Passo do Sobrado","vermelho","semáforo (verde/vermelho)","N/A","6025","populacao total","População: 6025.","alta",""
"Paverama","vermelho","semáforo (verde/vermelho)","N/A","8.146","populacao total","População: 8.146 hab. – Estimativa de 2024","alta",""
"Pedras Altas","verde","semáforo (verde/vermelho)","559","N/A","residentes em area de risco","vargea do candiota com publico de 560 familias nessa comunidade, ... Arroio Mau ... 105 familias; Cerro do bau ... 72 familias; nascente Alta ... 42 familias; São diogo ... 125 familias; Várzea do candiota ... 75 familias; gloria ... 185 familias","media",""
"Pedro Osório","vermelho","semáforo (verde/vermelho)","N/A","8711","populacao total","Top: municipality name, population (8.711), area (608.789 km²) and an RCL value.","alta",""
"Pelotas","vermelho","semáforo (verde/vermelho)","N/A","343826","populacao total","Estimativa de população 343.826 (2021).","alta",""
"Pinhal Grande","vermelho","semáforo (verde/vermelho)","N/A","3.805","populacao total","Seção 4 (""Áreas de Risco do Município""): ""Não possui áreas de risco""; Página com dados: ""População: 3.805""","alta",""
"Pinheiro Machado","vermelho","semáforo (verde/vermelho)","N/A","11214","populacao total","População: 11.214","alta",""
"Piratini","vermelho","semáforo (verde/vermelho)","N/A","19.831","populacao total","""population listed as 19.831 inhabitants (IBGE)""","alta",""
"Porto Alegre","verde","semáforo (verde/vermelho)","84460","1332845","residentes em area de risco","Segundo o Serviço Geológico do Brasil (SGB), Porto Alegre apresenta 142 áreas de risco, com cerca de 84.460 pessoas em 20.800 imóveis expostos.[ref_id:0][ref_id:0] De acordo com o Censo Demográfico, em 2022, Porto Alegre possuía uma população de 1.332.845 habitantes.[ref_id:13]","alta",""
"Portão","vermelho","semáforo (verde/vermelho)","N/A","34.071","populacao total","O município de Portão contava com 34.071 habitantes no último censo.","alta",""
"Pouso Novo","verde","semáforo (verde/vermelho)","9","1739","residentes em area de risco","Número de pessoas e residências que serão afetadas: Pessoas 09 Residências 04","alta",""
"Poço das Antas","vermelho","semáforo (verde/vermelho)","N/A","2,171","populacao total","Cabeçalho identificando o município (Poço das Antas), população (2,171 inhabitants — IBGE 2022)","alta",""
"Presidente Lucena","vermelho","semáforo (verde/vermelho)","N/A","3077","populacao total","o município (Presidente Lucena) tem 3,077 habitantes (IBGE)","alta",""
"Progresso","vermelho","semáforo (verde/vermelho)","N/A","5340","populacao total","Population: 5,340.","alta",""
"Putinga","vermelho","semáforo (verde/vermelho)","N/A","3,747","populacao total","município Putinga/RS, população 3,747 (IBGE 2022)","alta",""
"Quevedos","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento lista ações como ""mapeamento de áreas de risco"" e medidas de prevenção/evacuação, mas não apresenta número ou estimativa de pessoas/famílias que residem em áreas de risco no município","alta",""
"Quinze de Novembro","vermelho","semáforo (verde/vermelho)","N/A","3653","populacao total","Município: Nome: Quinze de Novembro População: 3653 Área: 224 Km²","alta",""
"Relvado","vermelho","semáforo (verde/vermelho)","N/A","1828","populacao total","Atualmente, o município abriga aproximadamente 1.828 habitantes em um território de 108,19 km².","alta",""
"Restinga Sêca","vermelho","semáforo (verde/vermelho)","N/A","15.213","populacao total","População: 15.213","alta",""
"Rio Grande","vermelho","semáforo (verde/vermelho)","N/A","198.958","populacao total","População no último censo 2024 198. 958 pessoas","alta",""
"Rio Pardo","vermelho","semáforo (verde/vermelho)","N/A","34.654 pessoas [2022]","populacao total","Popul/ção: 34.654 pesso/s [2022]","alta",""
"Riozinho","verde","semáforo (verde/vermelho)","640","4473","residentes em area de risco","pequena tabela dá estimativas de populações para áreas de risco (valores mostrados aproximadamente 130, 300 e 210) e Número de habitantes: 4.473","media",""
"Roca Sales","vermelho","semáforo (verde/vermelho)","N/A","10418","populacao total","População total: 10.418 (IBGE, 2022).","alta",""
"Rolante","vermelho","semáforo (verde/vermelho)","N/A","21,253","populacao total","População: aproximadamente 21.253 habitantes","alta",""
"Saldanha Marinho","vermelho","semáforo (verde/vermelho)","N/A","2876","populacao total","Population: 2,876 and area: 221.605 km².","alta",""
"Salto do Jacuí","vermelho","semáforo (verde/vermelho)","N/A","10,203","populacao total","Basic stats: population ~10,203;""Áreas de Risco do Município"" lista bairros e distritos com riscos, mas não apresenta um número ou estimativa de pessoas/famílias que residem nessas áreas.","alta",""
"Salvador do Sul","vermelho","semáforo (verde/vermelho)","N/A","7.251","populacao total","População: 7.251 (Estimativa: 2014 do IBGE)","alta",""
"Sananduva","vermelho","semáforo (verde/vermelho)","N/A","16399","populacao total","População (2022): 16.399 pessoas","alta",""
"Santa Bárbara do Sul","vermelho","semáforo (verde/vermelho)","N/A","8.829","populacao total","População:8.829","alta",""
"Santa Cecília do Sul","vermelho","semáforo (verde/vermelho)","N/A","1674","afetados por evento","Nº de afetados: 1674","alta",""
"Santa Clara do Sul","vermelho","semáforo (verde/vermelho)","N/A","7067","populacao total","estimated 2024 population (7,067)","alta",""
"Santa Cruz do Sul","vermelho","semáforo (verde/vermelho)","N/A","132.816 mil hab","populacao total","População 132.816 mil hab","alta",""
"Santa Maria do Herval","vermelho","semáforo (verde/vermelho)","N/A","6053","populacao total","População: 6053","alta",""
"Santa Maria","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento orienta ""Mapear Áreas de Risco"" e criar cadastros, mas não apresenta um número ou estimativa de pessoas/famílias que residem em áreas de risco.","alta",""
"Santa Vitória do Palmar","vermelho","semáforo (verde/vermelho)","N/A","31.961","populacao total","População: 31.961 habitantes","alta",""
"Santana da Boa Vista","vermelho","semáforo (verde/vermelho)","N/A","7.024 Mil Habitantes","populacao total","Population listed as ""7.024 Mil Habitantes""","alta",""
"Santiago","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento orienta a 'Mapear áreas de risco e identificar populações vulneráveis' e 'Identificar populações em áreas suscetíveis', mas não declara um número ou estimativa de pessoas/famílias residentes em áreas de risco no município de Santiago.","alta",""
"Santo Antônio da Patrulha","vermelho","semáforo (verde/vermelho)","N/A","43.171","populacao total","Santo Antônio da Patrulha com 43.171 (IBGE 2020), habitantes está localizada em uma região na qual as precipitações pluviométricas são bem consideráveis","alta",""
"Santo Antônio do Palma","vermelho","semáforo (verde/vermelho)","N/A","2.091","populacao total","População: 2.091 – Censo IBGE 2022","alta",""
"Santo Antônio do Planalto","vermelho","semáforo (verde/vermelho)","N/A","2089","populacao total","População Censo IBGE 2022: 2.089","alta",""
"Santo Expedito do Sul","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Documento lista ""Áreas de Risco do Município"" e eventos (alagamentos, seca, granizo, geadas) e também mostra ""estimativa de população (IBGE 2024)"" na seção Dados do Município, mas não declara número específico de pessoas ou famílias que residem em áreas de risco.","alta",""
"Sapiranga","vermelho","semáforo (verde/vermelho)","N/A","81946","populacao total","População: 81,946 mil habitantes (2023 IBGE)","alta",""
"Sapucaia do Sul","verde","semáforo (verde/vermelho)","2248","142508","residentes em area de risco","Número aproximado de pessoas em áreas de risco (Alto) — 2248","alta",""
"Segredo","vermelho","semáforo (verde/vermelho)","N/A","6009","populacao total","população (6.009 inhabitants per 2022 census)","alta",""
"Selbach","vermelho","semáforo (verde/vermelho)","N/A","5.107","populacao total","Population: ""5.107""","alta",""
"Sentinela do Sul","vermelho","semáforo (verde/vermelho)","N/A","5,424","populacao total","estimada população 5.424 (IBGE, 2025)","alta",""
"Sertão Santana","vermelho","semáforo (verde/vermelho)","N/A","5.989","populacao total","Caracterização do Município Sertão Santana, com 5.989 habitantes (Estimativa IBGE 2025)","alta",""
"Sertão","vermelho","semáforo (verde/vermelho)","N/A","5541","populacao total","Municipality name: Município de Sertão. - Population: 5,541 (2022). [ref_id:0]","alta",""
"Severiano de Almeida","vermelho","semáforo (verde/vermelho)","N/A","3467","populacao total","População: 3.467habitantes","alta",""
"Silveira Martins","vermelho","semáforo (verde/vermelho)","N/A","2149","populacao total","Basic facts: Population 2,149; Area 119,285.","alta",""
"Sobradinho","vermelho","semáforo (verde/vermelho)","N/A","14.226","afetados por evento","Sobradinho com 14.226 habitantes ... em de 2005 na qual teve uma população de 4.800 pessoas atingidas, já em janeiro de 2010 cerca de 6.100 pessoas foram atingidas, ... evento devastador ocorrido no ano de 2024, onde toda a população Sobradinhense foi afetada","alta",""
"Soledade","vermelho","semáforo (verde/vermelho)","N/A","29.992","populacao total","População: 29.992 - Censo IBGE 2020","alta",""
"São Domingos do Sul","vermelho","semáforo (verde/vermelho)","N/A","2926","populacao total","População: 2926","alta",""
"São Francisco de Assis","vermelho","semáforo (verde/vermelho)","N/A","17 618 hab.","populacao total","Cabeçalho: ""São Francisco de Assis - RS"", população ""17 618 hab.""; Seção 4 — ""Áreas de Risco do Município"" lista locais de risco (ex.: ""Área próxima ao Arroio Inhacundá""), sem indicar número de residentes em áreas de risco.","alta",""
"São Jerônimo","vermelho","semáforo (verde/vermelho)","N/A","24.412 pessoas","populacao total","População estimada 24.412 pessoas","alta",""
"São José do Herval","vermelho","semáforo (verde/vermelho)","N/A","1,902","populacao total","População: 1,902 (IBGE, 2022).|Seção ""Áreas de Risco do Município"" lista locais e tipos de risco (ex.: Centro da Cidade / Linha Shell — Alagamento; várias linhas rurais — Deslizamento) sem indicar número de residentes em áreas de risco.","alta",""
"São José do Hortêncio","vermelho","semáforo (verde/vermelho)","N/A","4.551","populacao total","População: 4.551 habitantes Área: 63,709 km²","alta",""
"São José do Norte","vermelho","semáforo (verde/vermelho)","N/A","25.443 habitantes (2024)","populacao total","Nome: São José do Norte – RS  População: 25.443 habitantes (2024)","alta",""
"São José do Ouro","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Seção 4 — ""Áreas de Risco do Município:"": tabela Local | Risco | Observações — lista locais e riscos (granizo e vendaval) sem indicar número de residentes em áreas de risco.","alta",""
"São José do Sul","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Documento lista ""Áreas de Risco do Município"" com locais e níveis de risco (Médio/Alto) e descreve abrigos com capacidade em famílias (ex.: ""Capacidade: 25 famílias"", ""Capacidade: 30 famílias""), mas não declara número ou estimativa de pessoas/famílias que residem em áreas de risco.","alta",""
"São João da Urtiga","vermelho","semáforo (verde/vermelho)","N/A","4.461 (IBGE 2022)","populacao total","População: 4.461 - IBGE 2022","alta",""
"São João do Polêsine","vermelho","semáforo (verde/vermelho)","N/A","2.649 habitantes","populacao total","Nome: São João do Polêsine/RS​​ ​ ​ ​ População: 2.649 habitantes​ Área: 78,32 km","alta",""
"São Leopoldo","verde","semáforo (verde/vermelho)","130000","217410","residentes em area de risco","Quantidade de pessoas: aprox. 130.000 (Maio 2024) [Grupo 3 – Inundações superiores ao Sistema de Proteção de Cheias] e População total (Censo 2022 IBGE) 217 410 hab.","alta",""
"São Lourenço do Sul","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","N/A","baixa",""
"São Martinho da Serra","vermelho","semáforo (verde/vermelho)","N/A","2822","populacao total","De acordo com o último censo demográfico (2022), a população residente do município é de 2822 habitantes","alta",""
"São Pedro da Serra","vermelho","semáforo (verde/vermelho)","N/A","3600","populacao total","Nome: São Pedro da Serra População: 3600 Área: 35km²","alta",""
"São Pedro do Sul","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Nº de residências: 0; Nº de prédios públicos: 30; Nº de afetados: 16671","alta",""
"São Sebastião do Caí","vermelho","semáforo (verde/vermelho)","N/A","24.428","populacao total","O Censo Demográfico 2022 (IBGE), quantificou 24.428 habitantes no município, sendo estimado para 2025 uma população de 24.898 habitantes.","alta",""
"São Sepé","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento descreve áreas de risco e procedimentos (ex.: ""CENÁRIOS DE RISCO"" listando locais como ""Encosta do Rio São Sepé ... RISCO: ALAGAMENTOS / INUNDAÇÕES / ENXURRADAS. OBSERVAÇÃO: ÁREA URBANA"") mas não informa um número ou estimativa de pessoas/famílias residentes nessas áreas.","alta",""
"São Vendelino","vermelho","semáforo (verde/vermelho)","N/A","2.309","populacao total","Habitantes 2.309","alta",""
"São Vicente do Sul","vermelho","semáforo (verde/vermelho)","N/A","8097","populacao total","Município Nome: São Vicente do Sul - RS População: 8.097 Área: 1.174,822 km²","alta",""
"Sério","verde","semáforo (verde/vermelho)","650","2281","residentes em area de risco","População Tipo Quantidade Complemento Família 650 Cerca de 650 famílias","media",""
"Tabaí","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Seção 4 (Áreas de Risco do Município): tabela com linha 'Todo município' / 'ESTIAGEM' / 'As áreas mais afetadas são no interior do município.'","alta",""
"Tapejara","vermelho","semáforo (verde/vermelho)","N/A","24557","populacao total","Nome: Tapejara /RS População: 24.557 (Censo 2022)","alta",""
"Tapera","vermelho","semáforo (verde/vermelho)","N/A","10824","populacao total","população estimada em 10.824 habitantes (IBGE, 2025)","alta",""
"Tapes","vermelho","semáforo (verde/vermelho)","N/A","14659","populacao total","Basic municipal data: Name (Município de Tapes), População: 14.659, Área: 806,65 Km².","alta",""
"Taquara","verde","semáforo (verde/vermelho)","1681","N/A","residentes em area de risco","População: Families 1,681; Residências populares 1,681; Other residences 0.","alta",""
"Taquari","vermelho","semáforo (verde/vermelho)","N/A","25198","populacao total","perfil municipal: população dada como 25.198 (último censo)","alta",""
"Tavares","vermelho","semáforo (verde/vermelho)","N/A","5.484","populacao total","Nome: Tavares População: 5.484 Área: 610,106rm","alta",""
"Teutônia","vermelho","semáforo (verde/vermelho)","N/A","33.963","populacao total","População estimada: 33.963 habitantes","alta",""
"Tio Hugo","vermelho","semáforo (verde/vermelho)","N/A","3267","populacao total","População: 3.267 - Censo IBGE 2022","alta",""
"Toropi","vermelho","semáforo (verde/vermelho)","N/A","2554","populacao total","Population: 2,554 (2022)","alta",""
"Travesseiro","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","4. Áreas de Risco do Município: Diversos pontos no interior do município, como, Linha Herval, Linha São João, Três Saltos Alto, Linha São Miguel, Barra do Fão, Três Saltos Baixo, Picada Felipe Essig — Deslizamentos e queda de detritos ... Localidade de Barra do Fão, Picada Felipe Essig, Linha São João e Três Saltos Baixo — Possível inundação e/ou alagamento","alta",""
"Triunfo","vermelho","semáforo (verde/vermelho)","N/A","25793","populacao total","População: 25793","alta",""
"Três Arroios","vermelho","semáforo (verde/vermelho)","N/A","2.591","populacao total","population 2.591 habitantes","alta",""
"Três Coroas","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento trata de mapeamento e identificação de áreas de risco e de procedimentos de resposta, mas não apresenta um número ou estimativa específica de pessoas ou famílias que residem em áreas de risco no município de Três Coroas (ex.: ""Em função do mapeamento das áreas de riscos...""; lista de ações e abrigos; seções sobre desabrigados/afetados)","alta",""
"Tunas","vermelho","semáforo (verde/vermelho)","N/A","3.739 pessoas","populacao total","População estimada [2024] 3.739 pessoas","alta",""
"Tupanci do Sul","vermelho","semáforo (verde/vermelho)","N/A","1374","populacao total","População: 1374","alta",""
"Tupanciretã","vermelho","semáforo (verde/vermelho)","N/A","20005","populacao total","Population: 20.005","alta",""
"Tupandi","vermelho","semáforo (verde/vermelho)","N/A","5.029","populacao total","População residente 5.029 (IBGE Censo 2022).","alta",""
"Turuçu","vermelho","semáforo (verde/vermelho)","N/A","3522","populacao total","Population: 3,522","alta",""
"Unistalda","vermelho","semáforo (verde/vermelho)","N/A","1.995","populacao total","Nome: Unistalda População: 1.995 Área: 602,4 km²","alta",""
"Vale Real","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Não há no documento um número ou estimativa específico de pessoas/famílias que residem/vivem em áreas de risco; o plano menciona ""Atualização de mapas e registros de áreas de risco"" e lista ruas/pontos de risco, mas não quantifica moradores em risco.","alta",""
"Vale Verde","vermelho","semáforo (verde/vermelho)","N/A","3150","populacao total","População: 3.150","alta",""
"Vanini","vermelho","semáforo (verde/vermelho)","N/A","2130","populacao total","População: 2130","alta",""
"Venâncio Aires","vermelho","semáforo (verde/vermelho)","N/A","70805","populacao total","População: 70.805","alta",""
"Vera Cruz","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","O documento é o Plano de Contingência (PLANCON) do município de Vera Cruz e descreve cenários de risco, ações, instituições e procedimentos, mas não apresenta um número ou estimativa específica de pessoas ou famílias que residem em áreas de risco no município.","alta",""
"Vespasiano Corrêa","vermelho","semáforo (verde/vermelho)","N/A","1800","populacao total","População estimada: 1.800 habitantes","alta",""
"Viadutos","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Nenhum documento do município de Viadutos recuperado no índice contém um número específico de residentes ou famílias que residem em áreas de risco; os documentos disponíveis referem-se a outro município (Três Arroios) ou trazem apenas números de afetados por evento e população total para Três Arroios (ex.: ""População: 2855""; ""N° de afetados: 2591"").","media",""
"Viamão","vermelho","semáforo (verde/vermelho)","N/A","224116","populacao total","O município de Viamão conta 224.116 habitantes no último censo do IBGE (2022).","alta",""
"Victor Graeff","vermelho","semáforo (verde/vermelho)","N/A","2780","populacao total","Identificação do município: Victor Graeff; população 2.780 (Censo IBGE 2022).","alta",""
"Vila Lângaro","vermelho","semáforo (verde/vermelho)","N/A","2079","populacao total","População: 2.079 - Censo IBGE 2022","alta",""
"Vila Maria","vermelho","semáforo (verde/vermelho)","N/A","4413","populacao total","População: 4.413","alta",""
"Vila Nova do Sul","vermelho","semáforo (verde/vermelho)","N/A","3.863","populacao total","População: 3.863 (IBGE 2023)","alta",""
"Westfália","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","4. Áreas de Risco do Município: Local Risco Observações ... Diversos pontos no interior do município, como, Linha Schmidt, Linha Berlim e Linha Paissandu Deslizamentos e queda de detritos ... Todo município Falta de água devido ao baixo volume de precipitação As áreas mais afetadas são no interior do município.","alta",""
"Água Santa","vermelho","semáforo (verde/vermelho)","N/A","3912","populacao total","DADOS DO MUNICÍPIO... população (3,912 — IBGE 2010)","alta",""
"Áurea","vermelho","semáforo (verde/vermelho)","N/A","3.517","populacao total","População: 3.517 habitantes","alta",""
