"municipio","valor","unidade","ano_plano","data_plano","evidencia","confianca","erro"
"Santa Bárbara do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","FEVEREIRO, 2025.","FEVEREIRO, 2025.","alta",""
"Santa Cecília do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","Março/2025","alta",""
"Santa Clara do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","Versão: 05/2025","Versão: 05/2025","alta",""
"Santa Cruz do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","MARÇO DE 2025","Plano Contingência 2025 2 MARÇO DE 2025","alta",""
"Santa Maria do Herval","amarelo","semáforo (verde/amarelo/vermelho)","2023","14/12/2023","14/12/2023, 11:20 SEGIRD - Sistema Estadual de Gestão Integrada de Risco e Desastres","alta",""
"Santa Maria","amarelo","semáforo (verde/amarelo/vermelho)","2024","ATUALIZADO EM 20 de dez. de 2024","ATUALIZADO EM 20 de dez. de 2024","alta",""
"Santa Vitória do Palmar","verde","semáforo (verde/amarelo/vermelho)","2025","Outubro de 2025","Santa Vitória do Palmar/RS Outubro de 2025","alta",""
"Santana da Boa Vista","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","""PLANO DE CONTINGÊNCIA"" ... ""Município de Santana da Boa Vista / RS"", então a data ""Março/2025.""","alta",""
"Santiago","amarelo","semáforo (verde/amarelo/vermelho)","2024","23 de dez. de 2024","REVISÃO: 23 de dez. de 2024","alta",""
"Santo Antônio da Patrulha","verde","semáforo (verde/amarelo/vermelho)","2025","Mai/2025","Plano de Contingência Mai/2025","alta",""
"Santo Antônio do Palma","verde","semáforo (verde/amarelo/vermelho)","2025","Janeiro/2025","Município de Santo Antonio do Palma Janeiro/2025.","alta",""
"Santo Antônio do Planalto","verde","semáforo (verde/amarelo/vermelho)","2025","JUNHO/2025","PLANO DE CONTINGÊNCIA 2025"" ... ""JUNHO/2025","alta",""
"Santo Expedito do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","Abril/2025","Município de Santo expedito do Sul/ RS — Abril/2025.","alta",""
"Sapiranga","amarelo","semáforo (verde/amarelo/vermelho)","2024","Abril - Maio / 2024","Centro: ""Abril - Maio / 2024.""","alta",""
"Sapucaia do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","2025","Plano Municipal De Contingência De Proteção E Defesa Civil PLACON 2025 — edição 2025","alta",""
"Segredo","verde","semáforo (verde/amarelo/vermelho)","2025","2025","""Município de Segredo/ RS"" e o ano ""2025.""","alta",""
"Selbach","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","Março/2025","alta",""
"Sentinela do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","VERSÃO 2025","""VERSÃO 2025""","alta",""
"Sertão Santana","verde","semáforo (verde/amarelo/vermelho)","2025","25 de agosto de 2025","VERSÃO 1.0 (Elaborado em 25 de agosto de 2025)","alta",""
"Sertão","verde","semáforo (verde/amarelo/vermelho)","2025","2025 / 2026","Município de Sertão / RS"" and ""2025 / 2026.","alta",""
"Severiano de Almeida","verde","semáforo (verde/amarelo/vermelho)","2025","Agosto/2025","PLANO DE CONTINGÊNCIA Município de Severiano de Almeida/RS Agosto/2025","alta",""
"Silveira Martins","amarelo","semáforo (verde/amarelo/vermelho)","2023","10 DE JULHO DE 2023","""SILVEIRA MARTINS, 10 DE JULHO DE 2023""","alta",""
"Sobradinho","amarelo","semáforo (verde/amarelo/vermelho)","2024","2024","evento devastador ocorrido no ano de 2024, onde toda a população Sobradinhense foi afetada devido a tempestades conectivas","media",""
"Soledade","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","Março/2025","alta",""
"São Domingos do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","14/01/2025","14/01/2025 13:56 SEGIRD - Sistema Estadual de Gestão Integrada de Risco e Desastres","alta",""
"São Francisco de Assis","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","Município de São Francisco de Assis/ RS"" e ""Março/2025","alta",""
"São Jerônimo","amarelo","semáforo (verde/amarelo/vermelho)","2024","2024","Com amparo na Lei nº 12.983/2024, no seu artigo 2º, Art. 3º- A, §7º, é considerado neste plano de Contingência de Proteção e Defesa Civil, elaborado pelo Município, o que segue:","media",""
"São José do Herval","verde","semáforo (verde/amarelo/vermelho)","2025","São José do Herval, 27 de maio de 2025","Documento datado: ""São José do Herval, 27 de maio de 2025.""","alta",""
"São José do Hortêncio","verde","semáforo (verde/amarelo/vermelho)","2025","Junho/ 2025","Junho/ 2025.","alta",""
"São José do Norte","verde","semáforo (verde/amarelo/vermelho)","2025","Outubro/2025; assinado em 20/10/2025","PLANO DE CONTINGÊNCIA ... Outubro/2025 [assinado digitalmente] MARCUS ANTÔNIO GAUTÉRIO DOS SANTOS JÚNIOR em 20/10/2025","alta",""
"São José do Ouro","amarelo","semáforo (verde/amarelo/vermelho)","2023","DEZEMBRO 2023","São José do Ouro – RS\nDEZEMBRO 2023","alta",""
"São José do Sul","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","alta",""
"São João da Urtiga","verde","semáforo (verde/amarelo/vermelho)","2025","PLANO DE CONTINGÊNCIA 2025","PLANO DE CONTINGENCIA 2025","alta",""
"São João do Polêsine","amarelo","semáforo (verde/amarelo/vermelho)","2023","Julho/2023","Município de São João do Polêsine/RS Julho/2023.","alta",""
"São Leopoldo","verde","semáforo (verde/amarelo/vermelho)","2025","06/06/2025","São Leopoldo – RS Data: 06/06/2025 Versão: 0.95","alta",""
"São Lourenço do Sul","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","baixa",""
"São Martinho da Serra","verde","semáforo (verde/amarelo/vermelho)","2025","23/05/2025 15:15:08","Edição 01 Data: 23/05/2025 15:15:08","alta",""
"São Pedro da Serra","verde","semáforo (verde/amarelo/vermelho)","2025","Fevereiro de 2025","Fevereiro de 2025.","alta",""
"São Pedro do Sul","amarelo","semáforo (verde/amarelo/vermelho)","2022","08/07/2022","timestamped 08/07/2022 13:31","alta",""
"São Sebastião do Caí","verde","semáforo (verde/amarelo/vermelho)","2025","30/09/2025","Elaborado em: 30/09/2025","alta",""
"São Sepé","verde","semáforo (verde/amarelo/vermelho)","2025","Março 2025","Março 2025 — Versão – v.3","alta",""
"São Vendelino","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","media",""
"São Vicente do Sul","amarelo","semáforo (verde/amarelo/vermelho)","2023","Julho / 2023","PLANO DE CONTINGÊNCIA 2023 ... Município de São Vicente do Sul / RS Julh o / 2023","alta",""
"Sério","verde","semáforo (verde/amarelo/vermelho)","2025","23 outubro de 2025","Sério/RS, 23 outubro de 2025.","alta",""
"Tabaí","verde","semáforo (verde/amarelo/vermelho)","2025","24 de outubro de 2025","Tabaí, 24 de outubro de 2025.","alta",""
"Tapejara","verde","semáforo (verde/amarelo/vermelho)","2025","VERSÃO 01/2025","PLANO DE CONTINGÊNCIA 2025 MUNICÍPIO DE TAPEJARA / RS VERSÃO 01/2025","alta",""
"Tapera","verde","semáforo (verde/amarelo/vermelho)","2025","2025","população estimada em 10.824 habitantes (IBGE, 2025)","media",""
"Tapes","verde","semáforo (verde/amarelo/vermelho)","2025","05/2025","Município de Tapes/ RS"" e data ""05/2025.","alta",""
"Taquara","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","A capa mostra campo ""ÚLTIMA ATUALIZAÇÃO:"" em branco e a página ""1.3 REGISTRO DE ALTERAÇÕES"" está vazia, sem datas registradas.","alta",""
"Taquari","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA DE PROTEÇÃO E DEFESA CIVIL 2025","alta",""
"Tavares","verde","semáforo (verde/amarelo/vermelho)","2025","16/01/2025","""Municipio de Tavares/ RS"" e a data ""16/01/2025.""","alta",""
"Teutônia","verde","semáforo (verde/amarelo/vermelho)","2025","20 de outubro de 2025","Teutônia, RS, 20 de outubro de 2025","alta",""
"Tio Hugo","verde","semáforo (verde/amarelo/vermelho)","2025","2025-05-27T13:45:55-0300","2025","alta",""
"Toropi","amarelo","semáforo (verde/amarelo/vermelho)","2023","2023","Município de TOROPI/ RS"" e beneath it the year ""2023.""","alta",""
"Travesseiro","verde","semáforo (verde/amarelo/vermelho)","2025","22 de outubro de 2025","Travesseiro, 22 de outubro de 2025.","alta",""
"Triunfo","amarelo","semáforo (verde/amarelo/vermelho)","2023","02/12/2023","02/12/2023, 16:19 SEGIRD - Sistema Estadual de Gestão Integrada de Risco e Desastres","alta",""
"Três Arroios","verde","semáforo (verde/amarelo/vermelho)","2025","Maio/2025","Município de Três Arroios/RS — Maio/2025","alta",""
"Três Coroas","verde","semáforo (verde/amarelo/vermelho)","2025","2025","ano ""2025"" na capa do documento: ""PLANO DE CONTINGÊNCIA DE PROTEÇÃO E DEFESA CIVIL"" ... ano ""2025.""","alta",""
"Tunas","verde","semáforo (verde/amarelo/vermelho)","2025","Outubro/ 2025","Município de Tunas RS Outubro/ 2025","alta",""
"Tupanci do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","03/06/2025","03/06/2025 - 08:56 SEGIRD - Sistema Estadual de Gestão Integrada de Risco e Desastres","alta",""
"Tupanciretã","amarelo","semáforo (verde/amarelo/vermelho)","2023","JULHO/2023","JULHO/2023","alta",""
"Tupandi","amarelo","semáforo (verde/amarelo/vermelho)","2023","Novembro/2023","Município de Tupandi/RS ... Novembro/2023","alta",""
"Turuçu","amarelo","semáforo (verde/amarelo/vermelho)","2021","Ano 2021","Município de Turuçu Ano 2021","alta",""
"Unistalda","verde","semáforo (verde/amarelo/vermelho)","2025","PLANO DE CONTINGÊNCIA 2025","PLANO DE CONTINGÊNCIA 2025","alta",""
"Vale Real","verde","semáforo (verde/amarelo/vermelho)","2025","2025","Ano: 2025","alta",""
"Vale Verde","verde","semáforo (verde/amarelo/vermelho)","2025","20 de junho de 2025","Vale Verde/RS, 20 de junho de 2025.","alta",""
"Vanini","verde","semáforo (verde/amarelo/vermelho)","2025","07/01/2025","Ultima Atualização 07/01/2025","alta",""
"Venâncio Aires","verde","semáforo (verde/amarelo/vermelho)","2025","junho de 2025","Venâncio Aires, junho de 2025","alta",""
"Vera Cruz","amarelo","semáforo (verde/amarelo/vermelho)","2024","08 /2024","ÚLTIMA ATUALIZAÇÃO: 08 /2024","alta",""
"Vespasiano Corrêa","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","""PLANO DE CONTINGÊNCIA –\nDEFESA CIVIL MUNICIPAL DE\nVESPASIANO CORRÊA – RS\nEste documento estabelece diretrizes...\npor Eduarda Trentin\nÚltima edição cerca de 8 horas atrás""","media",""
"Viadutos","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","Nenhum documento foi anexado.","alta",""
"Viamão","verde","semáforo (verde/amarelo/vermelho)","2026","MARÇO/2026","PLANO DE CONTINGÊNCIA ... Município de VIAMÃO/RS DEFESA CIVIL MARÇO/2026","alta",""
"Victor Graeff","verde","semáforo (verde/amarelo/vermelho)","2025","Maio de 2025","Maio de 2025","alta",""
"Vila Lângaro","verde","semáforo (verde/amarelo/vermelho)","2025","Março/2025","Março/2025","alta",""
"Vila Maria","verde","semáforo (verde/amarelo/vermelho)","2025","2025-04-02T14:27:00-0300","2025-04-02T14:27:00-0300 LUCIANO DORS:99525895068","alta",""
"Vila Nova do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","Março / 2025","Março / 2025.","alta",""
"Westfália","verde","semáforo (verde/amarelo/vermelho)","2025","20 de outubro de 2025","Westfália, 20 de outubro de 2025.","alta",""
"Água Santa","verde","semáforo (verde/amarelo/vermelho)","2025","JUNHO/ 2025","JUNHO/ 2025","alta",""
"Áurea","verde","semáforo (verde/amarelo/vermelho)","2025","2025","Histórico de Recorrência: Eventualmente, evento ocorrido nos anos de 2002, 2004, 2005, 2009, 2012, 2013, 2019, 2020, 2022, 2023 e 2025.","media",""
