"municipio","valor","unidade","n_canais_alerta","meios_alerta","evidencia","confianca","erro"
"Gentil","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O Plano descreve procedimentos de monitoramento, alerta, alarme e resposta e lista contatos (telefones, e-mails) e ações internas (elaborar Boletins Oficiais, enviar ao Departamento de Comunicação Social, contatar gerenciadores de abrigos, acionar órgãos como Corpo de Bombeiros, SAMU, Brigada Militar), sem mencionar meios de emissão de alerta à população como sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio de difusão ou redes sociais de difusão.","alta",""
"Getúlio Vargas","amarelo","semáforo (verde/amarelo/vermelho)","1","Alerta e alarme (brigada/cap. Airton) — não especifica meio público como sirene/SMS/rádio","5.2 Alerta e alarme Cap. Airton Brigada","baixa",""
"Glorinha","amarelo","semáforo (verde/amarelo/vermelho)","3","assessoria de imprensa / imprensa municipal (divulgação),boletins informativos (veiculação por meios de comunicação),comunicação externa para a população geral / divulgação pelos meios disponíveis","“Divulgação de boletins com informações sobre o evento, ações preventivas e de preparação.” [ref_id:4][ref_id:6] ""Emitir alerta a população através de todos os meios de comunicação disponíveis."" [ref_id:5][ref_id:6] ""Comunicação interna (Imprensa Municipal). 2) Atendimento emergencial à população atingida. 3) Instalação do Gabinete de Gestão de Crise."" (indica uso da Imprensa Municipal para divulgação) [ref_id:12]","media",""
"Gramado Xavier","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site da Prefeitura (on-line),jornais de circulação na região","A comunidade será avisada por meio da rádio, on-line (site da Prefeitura Municipal) e jornais de circulação na região.","alta",""
"Gravataí","verde","semáforo (verde/amarelo/vermelho)","5","aplicativo do WhatsApp,redes sociais,e-mail,telefone,site da prefeitura","""monitoramento ... é realizado pela equipe da Coordenadoria Municipal de Proteção e Defesa Civil, de avisos pelo aplicativo do WhatsApp e redes sociais""; ""É disponibilizado através de redes sociais, e-mail, telefone e site da prefeitura de Gravataí.""","alta",""
"Guaíba","amarelo","semáforo (verde/amarelo/vermelho)","2","rádios (rádios comunicadores / rádios locais),telefone (incluído como meio de ALERTA segundo o documento)","""O Alerta é realizado por meio de telefone, e-mail, rádios Comunicadores ou presencialmente.""","alta",""
"Harmonia","amarelo","semáforo (verde/amarelo/vermelho)","1","WhatsApp (envio do nível de alerta)","o Coordenador de Proteção e Defesa Civil emitirá por meio do WhatsApp o nível de alerta do evento à Coordenadoria de Proteção e Defesa Civil.","alta",""
"Herval","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento lista ações como ""5.1 Acionamento dos envolvidos"" e contém contatos/telefones de responsáveis, além de tabelas de recursos e estoques, sem mencionar canais de emissão de alerta à população (sirene, SMS, alto-falante, aplicativo, rádio ou redes sociais).","alta",""
"Herveiras","verde","semáforo (verde/amarelo/vermelho)","6","rádio (rádios regionais / rádios locais),carros de som / alto-falantes,redes sociais,WhatsApp (grupos/WhatsApp),boletins informativos / divulgação de boletins,lideranças comunitárias / igrejas / escolas (como canais de difusão)","“Garantir acesso à informação para comunidades isoladas por meio de rádios regionais, carros de som ou contatos via ACS.” [ref_id:0] “Utilizar canais de comunicação já ativados: redes sociais, rádios locais, WhatsApp, carros de som.” [ref_id:3] “Utilizar rádios regionais, grupos de WhatsApp, redes sociais e carros de som como principais canais de comunicação.” [ref_id:6] “Divulgar boletins frequentes com informações atualizadas...” [ref_id:0] “Utilizar todos os meios disponíveis (rádio, carros de som, redes sociais, líderes comunitários, igrejas, escolas) para manter a população informada...” [ref_id:4]","alta",""
"Ibarama","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento lista contatos de responsáveis, telefones, recursos e ações (ex.: distribuição de água, abrigos, limpeza de leitos) e menciona acionadores/coordenação do plano, mas não descreve meios de emissão de alerta à população como sirenes, SMS, alto‑falantes, aplicativo, rádio ou redes sociais.","alta",""
"Ibiaçá","verde","semáforo (verde/amarelo/vermelho)","4","rádio (difusão),carro de som/alto-falante,site municipal,redes sociais","""a comunidade será avisada por rádio, carros de som, site municipal e redes sociais."" [ref_id:0]","alta",""
"Ibiraiaras","amarelo","semáforo (verde/amarelo/vermelho)","2","Rádio local (Radio Nativa FM),Mídias locais/veículos de comunicação (campanhas em meios locais — ""mídia local""/materiais impressos)","5.1 Prevenção/Monitoramento/Observação: ... campanhas de informação e sensibilização da população por meio da mídia local e materiais impressos.[ref_id:7] / RESUMO DOS RECURSOS: ... Rádio local (Radio Nativa FM).[ref_id:8]","media",""
"Ibirapuitã","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,redes sociais,alto-falantes","• Sistemas de alerta via rádio, redes sociais e alto-falantes [ref_id:0]","alta",""
"Ibirubá","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento PLANO DE CONTINGÊNCIA (Município de IBIRUBÁ / RS, JULHO / 2023) — páginas recuperadas descrevem objetivos, quem aciona, áreas de risco e ações (evacuação, apoio, mobilização), sem menção a sirenes, SMS, carro de som, aplicativo, rádio ou redes sociais como meios de emissão de alerta à população.","alta",""
"Igrejinha","verde","semáforo (verde/amarelo/vermelho)","5","mídias sociais (Instagram, Facebook),rádios (rádio local / Rádio Amizade FM 98.7),telefone (ligações/telefones para população),visitas presenciais (agentes de Defesa Civil e bombeiros à população),grupo/WhatsApp de difusão (ex.: grupo “DEFESA CIVIL IGREJINHA - FRENTE DE AÇÃO”)","O Alerta é realizado por meio das mídias sociais do Município de Igrejinha e Defesa Civil, telefone, rádios ou presencialmente.[ref_id:0][ref_id:3][ref_id:11]","alta",""
"Ilópolis","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento descreve responsáveis, contatos (telefone, WhatsApp, e‑mail) e ações de comando/coordenação, mas não menciona sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio ou redes sociais como canais de emissão de alerta à população.","alta",""
"Imigrante","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Rua Castelo Branco, 15, Centro - Imigrante/RS – CEP: 95885-000 – Fone (51) 3754-1100 www.imigrante-rs.com.br E-mail: defesacivil@imigrante-rs.com.br WhatsApp: (51) 98183-1176","alta",""
"Ipiranga do Sul","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site municipal,jornais (impressos/local)","a comunidade será notificada por rádio, site municipal e jornais","alta",""
"Itaara","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio, redes sociais ou WhatsApp de difusão no documento do Plano de Contingência do Município de Itaara (páginas analisadas).","alta",""
"Itapuca","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site municipal (website),redes sociais","o documento indica ""comunicação pública (rádio, site municipal, redes sociais, jornais)"" como canais de comunicação para o plano de contingência","alta",""
"Ivorá","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento lista contatos/telefones/e-mails de autoridades e ações internas (ex.: ""5.1 Acionar Equipe da COMPDEC"", tabelas de contatos do Coordenador Municipal de Defesa Civil, Prefeito Municipal), mas não descreve canais de emissão de alerta à população como sirenes, SMS, carro de som, aplicativo, rádio ou redes sociais.","alta",""
"Ivoti","amarelo","semáforo (verde/amarelo/vermelho)","1","Plantão/WhatsApp (telefone de plantão divulgado)","Plantão: (51) 3563-6788 (WhatsApp) DE IVOTI","media",""
"Jacuizinho","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento lista ações, responsáveis e contatos (telefones/e-mails) e recursos, mas não descreve canais de emissão de alerta à população como sirenes, SMS, carro de som, aplicativo, rádio ou redes sociais.","alta",""
"Jaguari","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","os aspectos relacionados ao monitoramento,alerta,alarme e resposta,incluindo as ações de socorro,ajuda humanitária e reabilitação de cenários, a fim de reduzir os danos e prejuízos decorrentes.","alta",""
"Jaguarão","verde","semáforo (verde/amarelo/vermelho)","4","carro de som/alto-falante,visitas presenciais dos agentes da Defesa Civil,rádios,redes sociais","O acionamento se dará por meio de carro de som e visitas dos Agentes da Defesa Civil a população, e através da mídia (redes sociais e rádios)","alta",""
"Jari","amarelo","semáforo (verde/amarelo/vermelho)","1","Rádio (rádios locais para divulgação)","O Município de Jari/RS não possui emissora de rádio para divulgação de eventos, sendo as informações transmitidas nas seguintes rádios locais: Rádio Jaguari LTDA - 100.1 FM - Jaguari/RS Rádio Municipal São Pedrense - 900 AM - São Pedro do Sul/RS","alta",""
"Júlio de Castilhos","amarelo","semáforo (verde/amarelo/vermelho)","1","Rádio (Rádio 14 de Julho FM 107,7)","Rádio 14 de Julho FM 107,7 — Av. Assis Brasil, 263; phone: (55) 3271-1414.","media",""
"Lagoa Bonita do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento PLANO DE CONTINGÊNCIA e ficha municipal descrevem objetivos, quem aciona o plano, áreas de risco e contatos cadastrais, sem mencionar sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio ou redes sociais como canais de emissão de alerta à população.","alta",""
"Lagoa Vermelha","verde","semáforo (verde/amarelo/vermelho)","5","Internet,Carro de som/alto-falante,Jornais,Rádio,Redes sociais","""AVISOS \n\nInternet, Carro de som, Jornais e radio""; ""O alarme será disparado através de carro de som da DC, pelo rádio e pelas redes sociais"" [ref_id:0][ref_id:0]","alta",""
"Lagoa dos Três Cantos","verde","semáforo (verde/amarelo/vermelho)","5","Internet,carro de som/alto-falante,rádio,sino da igreja,telefone","AVISOS: listas comunicação means (Internet, carro de som, rádio, sino da igreja, telefone).","alta",""
"Lagoão","amarelo","semáforo (verde/amarelo/vermelho)","2","rádio,on-line (site da Prefeitura) / jornais de circulação na região","A comunidade será avisada por meio da rádio, on-line (site da Prefeitura Municipal) e jornais de circulação na região.","alta",""
"Lajeado","verde","semáforo (verde/amarelo/vermelho)","6","Sirenes,Rádio,Veículo de propaganda / carro de som / alto-falante,Redes sociais (perfis oficiais da Prefeitura),Grupos de WhatsApp (divulgação com imprensa e órgãos),Mídia impressa/jornais (meios de comunicação locais)","“●​ Acionar as sirenes, quando necessários;”[ref_id:0] “- Rádio e Jornal – Meios de comunicação locais (Contatos vide anexo 8)”[ref_id:1] “- Veículos de Propaganda (Departamento de Comunicação Social);”[ref_id:1] “- Grupos de WhatsApp- Foi criado também um grupo de WhatsApp com os a imprensa e órgãos da prefeitura para divulgação das informações uniformes (Imprensa - Lajeado)”[ref_id:1] “●​ Atualizar constantemente os perfis oficiais da Prefeitura com informações relevantes;”[ref_id:4] ""da Defesa Civil, providenciar veículo de som para comunicação junto às áreas atingidas.""[ref_id:13]","alta",""
"Lindolfo Collor","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento apresenta procedimentos, cenários, lista de contatos e atribuições, porém não descreve canais de emissão de alerta à população como sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais de difusão.","alta",""
"Linha Nova","verde","semáforo (verde/amarelo/vermelho)","4","sirene(s),rádio,redes sociais,carros de som/alto-falante","Alerta à população via sirenes, rádio, redes sociais e carros de som.","alta",""
"Machadinho","verde","semáforo (verde/amarelo/vermelho)","5","sirenes/alertas sonoros,carro de som/alto-falante,rádio,internet/redes sociais,mensagem em massa/SMS","""já instalou alertas sonoros""[ref_id:0]""Internet, Carro de som, Jornais, Radio, Telefone""[ref_id:1]""Em situação de emergência, será implementada uma comunicação imediata ... por meio de todos os canais de comunicação disponíveis.""[ref_id:1]","alta",""
"Maratá","amarelo","semáforo (verde/amarelo/vermelho)","1","câmeras que emitem alertas sonoros (sirene/alto-falante)","instalação de câmeras que emitem sound alerts to monitor arroio water levels (mentions Arroio Maratá and the locality Esperança).","media",""
"Marau","verde","semáforo (verde/amarelo/vermelho)","5","Internet,Carro de som/alto-falante,Rádio,APP (aplicativo de celular),Jornais / imprensa / todos os meios de comunicação possíveis","AVISOS \n\nInternet, Carro de som, Radio, APP e jornais \n\nALERTAS \n\nResponsável: \n\nImprensa do \n\nMunicípio \n\nTelefone/Celul\nar: (54) 3342-\n\n9500 Alerta: \n\nSerá divulgado por todos os meios de comunicação possíveis.","alta",""
"Marcelino Ramos","verde","semáforo (verde/amarelo/vermelho)","5","site oficial,mídias sociais,grupos de aplicativo de mensagem de texto via celular (WhatsApp/semelhantes),mensagens de texto / transmissão via celular (Defesa Civil Alerta / CEMADEN/INMET),alerta sonoro via celular (sinal sonoro contínuo mesmo em modo silencioso)","O município ... comunica a população local por meio do seu site oficial e das mídias sociais, dispõe de grupos de aplicativo de mensagem de texto via celular... Esses alertas são enviados por meio de diferentes canais, como mensagens de texto, aplicativos móveis e redes sociais... alerta sonoro via celular, que foi implementado... esse recurso emite um sinal sonoro contínuo nos celulares...","alta",""
"Mariana Pimentel","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento PLANCON do Município de Mariana Pimentel não menciona canais de emissão de alerta à população (sirene, SMS/mensagem em massa, alto-falante/carro de som, aplicativo, rádio, redes sociais) nos trechos disponibilizados.","alta",""
"Marques de Souza","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio (comunitária/local),redes sociais,postagem/boletins via comunicação municipal (divulgação em redes e rádio)","""a comunicação ficará a cargo do setor de comunicações para monitorar e coordenar as mensagens com o prefeito e rádio local e redes sociais""","alta",""
"Mata","amarelo","semáforo (verde/amarelo/vermelho)","2","telefone (institucional para contato),e-mail (institucional para contato)","Telefone 55-3259.1122 [e outros números] e E-mail chefegabinete@mata.rs.gov.br e planejamento@mata.rs.gov.br","media",""
"Mato Castelhano","verde","semáforo (verde/amarelo/vermelho)","4","rádio,carros de som/alto-falante,site oficial (website),redes sociais da Prefeitura","""4. comunicação à População: será realizada üa rádio, carros de som, site oficial e redes sociais da Prefeitura."" [ref_id:0]","alta",""
"Mato Leitão","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site da Prefeitura Municipal,redes sociais","""A população será avisada por meio da radio, Site da Prefeitura Municipal , redes Sociais e jornais."" [ref_id:0]","alta",""
"Maximiliano de Almeida","verde","semáforo (verde/amarelo/vermelho)","5","Sirenes,Carro de som/alto-falante,Rádio,Jornais,Redes sociais / todos os canais de comunicação disponíveis","Orientações à população após o acionamento de sirenes: ...; Avisos: Internet, Carro de som, Jornais, Radio, Telefone; Em situações de emergência, será implementada uma comunicação imediata e transparente com os residentes por meio de todos os canais de comunicação disponíveis.","media",""
"Minas do Leão","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Montenegro","amarelo","semáforo (verde/amarelo/vermelho)","3","mídia (Rádios),televisão,mídias sociais","O Acionamento se dará por através da mídia (Rádios, televisão e mídias sociais), encaminhando os dados do porque estão sendo dado o alerta.[ref_id:1]","alta",""
"Mormaço","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento descreve ações, cenários, lista de contatos e recursos, mas não menciona canais de emissão de alerta à população como sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais de difusão.","alta",""
"Morro Redondo","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Morro Reuter","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento descreve contatos institucionais (telefones, e-mails) e procedimentos de acionamento interno, mas não menciona meios de emissão de alerta à população como sirenes, SMS/mensagem em massa, alto-falantes/carro de som, aplicativo, rádio ou redes sociais de difusão.","alta",""
"Muliterno","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Nicolau Vergueiro","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site/online (site municipal),jornal local (imprensa local)","A comunidade será notificada por radio, online (municipal website) and local newspapers.[ref_id:1]","alta",""
"Nova Alvorada","verde","semáforo (verde/amarelo/vermelho)","4","Internet (site do município),Rádio comunitária,Redes sociais,Jornais/Radio (meios de comunicação) / Avisos pelos meios de comunicação","Alarme: Alarmes através da rádio comunitária, redes sociais e site do município.[ref_id:0] / AVISOS Internet, Jornais, Radio, Telefone,[ref_id:0] / Alerta: Avisos pelos meios de comunicação sobre os alertas.[ref_id:0]","media",""
"Nova Bréscia","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","5.1 Alerta Coordenador Municipal Defesa Civil (51) 98146.9178","alta",""
"Nova Esperança do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","No documento recuperado há listagem explícita de canais de emissão de alerta à população (sirene, SMS, carro de som, aplicativo, rádio, redes sociais). Aparecem apenas itens gerais como ""5.1 Emitir Alertas e Alarme"" e tabelas de contatos/responsáveis e lista de abrigos, sem detalhar meios de difusão pública específicos.","alta",""
"Nova Hartz","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Nova Palma","amarelo","semáforo (verde/amarelo/vermelho)","2","rádio (difusão / Rádio Comunitária 105.9 FM),redes sociais (publicação / divulgação em mídias sociais)","lista descreve entre as ações: ""publicizar informação do incidente"" e ""transmissão de informação via rádio e redes sociais""; ANEXO IV lista ""Rádio Comunitária (105.9 FM)"" como recurso disponível","alta",""
"Nova Santa Rita","amarelo","semáforo (verde/amarelo/vermelho)","2","rádio/mídia (rádios),telefone (aviso telefônico) / visita presencial","descrbe meios de aviso (telefone, mídia/rádios, e-mail, visita presencial) e que o acionamento também será enviado à CrepdecMetrop","media",""
"Novo Cabrais","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Elaborar boletins oficiais e encaminhar a Assessoria de imprensa; Manter plantão permanente ( celular); Contatar os órgãos oficiais e afins, informando-os da situação e alertando sobre uma possível mobilização; Elaborar a documentação no Sistema Integrado de Informação de Desastres","alta",""
"Novo Hamburgo","verde","semáforo (verde/amarelo/vermelho)","4","carro de som/alto-falante,rádio (mídia/Rádios),visitas/ações presenciais de agentes (como instalação de alarme via abordagem direta),telefone / e-mail / rádios comunicadores usados para alertar equipes e via mídia (citados como meios de alerta)","""O Alerta é realizado por meio de telefone, e-mail, rádios comunicadores ou presencialmente."" ""O Acionamento se dará por meio de carro de som e visitas dos agentes de Defesa Civil à população, e através da mídia (Rádios), encaminhado e-mail com os dados do porque está sendo dado o alerta, por telefone ou rádios comunicadores.""","media",""
"Não-Me-Toque","amarelo","semáforo (verde/amarelo/vermelho)","3","Rádio (Nova Ceres AM / ondas do rádio),Sinos da igreja,Telefone (para avisos) / Telefone/Celular (como meio de aviso)","""A estação de rádio local (Nova Ceres AM), tem muito boa audiência; além disso existem grupos de whatsapp bem organizados que podem contribuir em muito para o Alerta da Defesa Civil."" / ""AVISOS: Radio, Sino da Igreja, Telefone""","alta",""
"Paim Filho","amarelo","semáforo (verde/amarelo/vermelho)","1","Rádio comunitária (Paim FM 104.9)","Radio Comunitária Paim FM 104.9 Av. Vigaário João Crisóstomo, Centro – Paim Filho (54) 3083-5039","alta",""
"Pantano Grande","amarelo","semáforo (verde/amarelo/vermelho)","1","acionamento do plano de chamada (alerta/convocação)","5.2 Acionamento do plano de chamada (activate call/alert plan)","media",""
"Paraíso do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento descreve procedimentos de convocação, plantão (celular/rádio) e elaboração de boletins oficiais e envio ao departamento de comunicação, mas não menciona canais de emissão de alerta à população como sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio de difusão ou redes sociais de difusão.","media",""
"Pareci Novo","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a meios de emissão de alerta à população (sirene, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio, redes sociais) nas páginas recuperadas do Plano de Contingência do Município de Pareci Novo (capa; objetivos; ativação do plano; áreas de risco).","media",""
"Parobé","amarelo","semáforo (verde/amarelo/vermelho)","2","sirene,e-mail institucional (defesacivil@parobe.rs.gov.br)","Eventos Adversos Mais Comuns: I. Enchente II. Inundação III. tempestade ... E-mail defesacivil@parobe.rs.gov.br","baixa",""
"Passa Sete","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documentos do Plano de Contingência e resumos municipais apresentam contatos, recursos e responsabilidades, mas não descrevem canais de emissão de alerta à população como sirenes, SMS, alto‑falantes, aplicativo, rádio ou redes sociais.","alta",""
"Passo Fundo","amarelo","semáforo (verde/amarelo/vermelho)","3","Internet,Carro de som,Radio","AVISOS Internet, Carro de som, Radio,","alta",""
"Passo do Sobrado","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documentos consultados (Plano de Contingência e formulários municipais) listam responsáveis, contatos, abrigos, recursos e ações a serem desenvolvidas (ex.: ""Quem aciona o plano"", ""Ações desenvolvidas"", listas de telefones, lista de abrigos, resumo dos recursos""), mas não descrevem canais de emissão de alerta à população como sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais de difusão.","alta",""
"Paverama","amarelo","semáforo (verde/amarelo/vermelho)","2","canais digitais da Prefeitura (site institucional),redes sociais oficiais","A população será oficialmente comunicada por meio dos canais digitais da Prefeitura Municipal (site institucional e redes sociais oficiais) e de veículos de imprensa regional de circulação","alta",""
"Pedras Altas","verde","semáforo (verde/amarelo/vermelho)","4","carro de som/alto-falante,contato telefônico (para órgãos) - EXCLUIR (não contado),rádio (rádios locais listadas: Rádio Nativa FM, Rádio DELTA, Rádio Herval FM),WhatsApp/waspt com as comunidades,site (pedrasaltas.rs.com.br) / comunicação social","""o sistema de alerta será acionado... via carro de som para as comunidades em áreas de risco.""; ""Canais de comunicação. Radio Nativa FM (53) 32571204 Radio DELTA (53) 32425471 Radio Herval FM (53) 999633226""; ""contato telefônico waspt com as comunidades""; ""site: pedrasaltas.rs.com.br""","media",""
"Pedro Osório","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento lista ações como ""5.2 Alerta"" e contém contatos/telefones de responsáveis, mas não descreve canais de emissão à população (ex.: sirenes, SMS, alto‑falante, aplicativo, rádio, redes sociais).","alta",""
"Pelotas","amarelo","semáforo (verde/amarelo/vermelho)","1","Assessoria Especial de Comunicação / divulgação à imprensa (bulletins oficiais)","Assessoria Especial de Comunicação: publicize the situation in official bulletins and to media.[ref_id:16]","media",""
"Pinhal Grande","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Pinheiro Machado","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documentos pesquisados incluem identificação de contatos, recurso de veículos, estoques e responsáveis, mas não descrevem canais de emissão de alerta à população como sirenes, SMS massivo, carro de som/alto-falante, aplicativo, rádio ou redes sociais de difusão.","alta",""
"Piratini","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documentos recuperados contêm listas de ações, responsáveis e telefones/contatos para órgãos e abrigo, critérios de acionamento e riscos, mas não descrevem canais de emissão de alerta à população (sirene, SMS em massa, carro de som/alto‑falante, aplicativo, rádio ou redes sociais).","media",""
"Porto Alegre","verde","semáforo (verde/amarelo/vermelho)","6","sirenes,aplicativos de celular,mídia (rádio/imprensa),redes sociais,SMS/mensagem em massa,alto-falantes/carro de som","Implementar sistema de ALERTA através de meios de comunicações e redes sociais (mídia, sirenes, aplicativos de celular, etc), permitindo a mobilização e ações de autoproteção da população (2025);","alta",""
"Portão","verde","semáforo (verde/amarelo/vermelho)","5","Grupos de WhatsApp do bairro (mensagem de emergência),Redes sociais oficiais da Prefeitura,Rádios locais,Carro de som/megafones (equipes com carros de som e megafones),Visitas/percorrida de equipes da Defesa Civil em áreas críticas (alto-falante/megafone)","""7.1.3.1. Grupos de WhatsApp do bairro;"" ""7.1.3.2. Redes sociais oficiais da Prefeitura;"" ""7.1.3.3. Rádios locais;"" ""8.1.4.1. Carro de som circulando pelas ruas do bairro;"" ""8.1.4.2. Equipes da Defesa Civil com megafones;"" ""3. Ao atingir a cota 26,70 metros... 3. Equipes com carros de som e megafones são enviadas para as áreas afetadas. 4. Mensagens de emergência são enviadas pelos grupos de WhatsApp.""","alta",""
"Pouso Novo","verde","semáforo (verde/amarelo/vermelho)","4","Mensagem via WhatsApp (difusão),Postagem na página do Instagram (redes sociais),Comunicado pela rádio do município (rádio),sistema de alarme e alerta (implícito: alarme/sirene/alto-falante)","Indicação do mecanismo de mobilização da comunidade ( sistema de alarme e alerta) Meio utilizado: Mensagem via WhatsApp; Postagem na página do Instagram; Comunicado pela rádio do município","alta",""
"Poço das Antas","amarelo","semáforo (verde/amarelo/vermelho)","1","redes sociais (e site)","a coordenação de comunicação deve informar a população por redes sociais e site;""","alta",""
"Presidente Lucena","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Não há menção a sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio, redes sociais ou WhatsApp de difusão para emissão de alerta à população nas páginas recuperadas do Plano de Contingência do Município de Presidente Lucena/RS.","alta",""
"Progresso","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Putinga","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento contém seções de dados cadastrais, objetivos e áreas de risco, listas de autoridades e contatos, mas não descreve canais de emissão de alerta à população (sirenes, SMS, alto‑falantes, aplicativo, rádio ou redes sociais).","media",""
"Quevedos","verde","semáforo (verde/amarelo/vermelho)","4","rádio local,redes sociais municipais,SMS/alerta em massa (parceria com Defesa Civil estadual),carro de som/alto-falante (sound trucks)","lista de comunicação: ""local radio, municipal social media, SMS alerts in partnership with state civil defense, and sound trucks for remote areas""","alta",""
"Quinze de Novembro","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Relvado","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Os alertas emitidos pelos órgãos oficiais de monitoramento meteorológico serão recebidos por meio da Coordenadoria Municipal de Proteção e Defesa Civil. A Coordenadoria Municipal de Proteção e Defesa Civil deverá manter telefone funcional ativo, capaz de receber avisos e alertas a qualquer tempo.","alta",""
"Restinga Sêca","amarelo","semáforo (verde/amarelo/vermelho)","1","Difusão por órgãos de comunicação / Assessoria de Imprensa / Boletins Oficiais","Assessoria de Imprensa: - Cooperar com a COMDEC, na divulgação de campanhas de orientação à população residente nas áreas atingidas sobre como proceder antes, durante e após o evento; - ... - Difundir, através dos organismos de comunicação, os Boletins Oficiais; - Designar um representante junto à COMDEC.","alta",""
"Rio Grande","amarelo","semáforo (verde/amarelo/vermelho)","1","Atendimento/Chamadas via 199 / WhatsApp","Atendimento de Chamadas via 199 – 53999683244 WhatsApp","media",""
"Rio Pardo","amarelo","semáforo (verde/amarelo/vermelho)","2","Rádio (meios de comunicação locais),Grupo de WhatsApp com imprensa local e órgãos da prefeitura (divulgação de informações)","Rádio e Jornal – Meios de comunicação locais; · Rádio: Rio Pardo ... · Rádio: Gazeta Sul ... · Foi criado também um grupo de WhatsApp com a imprensa local e órgãos da prefeitura para divulgação das informações uniformes.","media",""
"Riozinho","verde","semáforo (verde/amarelo/vermelho)","4","veículo/mobilidade com alto‑falante/carro de som,redes sociais (postagens/alertas),telefone/telefonema/mensagem (indica telefonia/WhatsApp/internet como meio de mobilização),rádio (Rádio WEB Riozinho)","Tabela lista ""municipal vehicle with loudspeaker, social media"" e indica ""phone calls, loudspeaker rounds by a vehicle, posts/alerts on social networks""; página lista ""Mídia (rádio, TV, etc) existente no município: Rádio WEB Riozinho""; formulário menciona cobertura de telefonia e nota sobre internet/WhatsApp usage","alta",""
"Roca Sales","verde","semáforo (verde/amarelo/vermelho)","6","rádio (difusão),site da Prefeitura/online,Facebook,Instagram,grupos de WhatsApp (difusão),carro de som/alto-falante","""A comunidade será avisada por meio da rádio, on-line (site da Prefeitura Municipal, Facebook, Instagram e líderes comunitários voluntários, grupos de whatsapp e carro de som."" [ref_id:0]","alta",""
