"municipio","valor","unidade","n_nupdecs","nupdec_futuro","grupos_comunitarios","evidencia","confianca","erro"
"Forquetinha","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Lista de Abrigos... Responsável: Volnei Kern / Responsável: Adair Boaria / Responsável: Seleide Trentini... (abre locais e responsáveis) — não há menção a NUPDEC/NUDEC formalizado no documento recuperado","alta",""
"Fortaleza dos Valos","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 01 Giovane Nogueira 055 9991267191","alta",""
"Gaurama","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Serão mobilizadas, prioritariamente, as seguintes Secretarias Municipais... A população será informada através dos meios oficiais... Recebimento, organização e distribuição de doações com a participação de membros da Coordenadoria Municipal de Defesa Civil e voluntários; atendimento aos grupos com necessidades especiais.","alta",""
"Gentil","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","No documento não há menção a NUPDEC(s) ou NUDEC(s) já existentes; apenas COMPDEC, coordenação municipal, lista de abrigos e ações/atribuições dos órgãos descritas no Plano de Contingência.","alta",""
"Getúlio Vargas","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a voluntários de Defesa Civil e abrigos com responsáveis (voluntários), sem NUPDEC formalizado","Voluntários de Defesa Civil 1 Jardel Haiduck 99141-3733; Lista De Abrigos ... Responsável: Debora Muller ... Responsável: Volmir Santolin","alta",""
"Glorinha","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","O recebimento, organização e distribuição são realizados pela Assistência Social, Grupo Soca Trilha e a COMPDEC, sempre que o município venha a receber ou adquirir doações...; ABRIGO TEMPORÁRIO GLORINHA FUTEBOL CLUBE ...; PONTOS DE APOIO CTG SENTINELA DO RIO GRANDE ...","alta",""
"Gramado Xavier","vermelho","semáforo (verde/amarelo/vermelho)","0","sim","sim","""Após a decisão formal de ativar o Plano, as seguintes medidas serão desencadeadas: ... O COMPDEC ativará o plano de chamada..."" [ref_id:0]","alta",""
"Gravataí","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a grupos/voluntários (Jipeiros, escoteiros, Anjos do asfalto, Grupo de voluntários, CBV rota do sol) e outros voluntários listados","""Grupo de voluntários\n\tjipeiros\nbarqueiros escoteiros\nAnjos do asfalto\nCBV rota do sol (cmt Troni)."" [ref_id:10]","alta",""
"Guaíba","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Lista de Voluntários Civis; menção a agentes da COMDEC e voluntários previamente designados para ações de abrigamento e apoio (ex.: ""15 Voluntários Civis"")","alta",""
"Harmonia","verde","semáforo (verde/amarelo/vermelho)","16","nao","N/A","Cadastro integrantes NUPDEC (lista por localidades: VILA RICA, CANTO DO RIO, TAFONA, MORRO AZUL, SÃO BENEDITO, SAUDADES, CENTRO 1, CENTRO 2, MORRO SANTO ANTÔNIO, MORRO PEIXOTO ALTO, MORRO PEIXOTO, VILA FLORESTA, CANTO LERNER, NOVA SANTA CRUZ, MORRO DO CEDRO, etc.)","alta",""
"Herval","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil: 15","alta",""
"Herveiras","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC ou núcleos comunitários formalizados no documento; apenas listas de contatos, abrigos, instalações do SCI e responsabilidades institucionais no Plano Municipal de Contingência de Herveiras/2025. [ref_id:11][ref_id:5]","alta",""
"Ibarama","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Lista mostra ""Voluntários de Defesa Civil: Quant 20 — Gildo L. Puntel"" e não há menção a NUPDEC/NUDEC ou núcleos formalizados no documento recuperado","alta",""
"Ibiaçá","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","""Voluntários de Defesa Civil (01)""","media",""
"Ibiraiaras","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Anexo A: Lei Municipal n° 2.172/2014, Criação da COMDEC","media",""
"Ibirapuitã","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista responsáveis (Defesa Civil Municipal, secretarias), abrigos e treinamentos/voluntárias, mas NÃO menciona NUPDEC(s)/NUDEC(s) existentes nem cita que ""serão organizados/criados"" núcleos: ""Defesa Civil Municipal (Coordenador do Plano)""; ""Capacitação das equipes técnicas e voluntárias""; anexos com abrigos e contatos úteis.","alta",""
"Ibirubá","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento PLANO DE CONTINGÊNCIA - Município de IBIRUBÁ / RS (jul/2023) lista áreas de risco, ações e responsáveis (evacuação, apoio material, saúde, mobilização segurança pública, reconstrução) e contatos da Coordenadoria Municipal de Defesa Civil, sem mencionar NUPDEC(s)/NUDEC(s) existentes nem grupos voluntários formalizados.","alta",""
"Igrejinha","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção no documento a NUPDEC(s)/NUDEC(s) já existentes ou formalizados; o texto descreve COMDEC, atribuições, recursos e procedimentos operacionais sem listar Núcleos Comunitários de Proteção e Defesa Civil formalizados.","alta",""
"Ilópolis","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento ""Plano de Contingência Município de Ilópolis/RS"" contém objetivos, áreas de risco, ação a serem desenvolvidas, quadro de pessoas responsáveis e recursos, sem menção a ""NUPDEC"" ou ""NUDEC"" nem a núcleos comunitários formalizados.","alta",""
"Imigrante","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista recursos, abrigos e responsabilidades, mas não menciona NUPDEC/NUDEC ou núcleos comunitários formalizados em qualquer trecho recuperado.","alta",""
"Ipiranga do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","RESUMO DOS RECURSOS — lista inclui ""Voluntários de Defesa Civil"" como recurso local (quantidade indicada)""[ref_id:4]","alta",""
"Itaara","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento PLANO DE CONTINGÊNCIA de Itaara - não há menção a NUPDEC/NUDEC; lista 'Voluntários de Defesa Civil: 0' e campos de ações/responsáveis relacionados à Defesa Civil, abrigos e recursos (ex.: 'Voluntários de Defesa Civil: 0')","alta",""
"Itapuca","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento: PLANO DE CONTINGÊNCIA MUNICIPAL MUNICÍPIO DE ITAPUCA‑RS (MAIO/2025) e páginas internas (caracterização, lista de abrigos, cenários de risco, resumo dos recursos) descrevem COMDEC, abrigos, contatos e ações, mas não listam nem nomeiam NUPDEC(s)/NUDEC(s) existentes nem mencionam núcleos comunitários formalizados.","alta",""
"Ivorá","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Resumo dos recursos — Informações gerais: Voluntários de Defesa Civil: 10","alta",""
"Ivoti","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Nenhuma menção a NUPDEC(s)/NUDEC(s) já existentes ou formalizados encontrada no documento recuperado; o plano descreve estrutura, cenários de risco, órgãos participantes e ações, sem listar núcleos comunitários formalizados.","media",""
"Jacuizinho","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Resumo dos Recursos: Voluntários de Defesa Civil 2; Identificação das Pessoas (Ações desenvolvidas) lista responsáveis pela Coordenadoria de Defesa Civil; Abrigo I (identificação e responsável) — documentos listam voluntários e abrigos, não citam NUPDEC/NUDEC formalizados.","alta",""
"Jaguari","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","após a decisão formal de ativar o plano de contingência de proteção e defesa civil as seguintes medidas serão desencadeadas :O prefeito e/ou o coordenador da COMPDEC ativará o plano de chamada ,o posto de comando e a compilação das informações .OS órgãos mobilizados ativarão os protocolos internos definidos de acordo com o nível da ativação( atenção, alerta, alarme, resposta).","media",""
"Jaguarão","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Recursos Mínimos Previstos ... Humanos: 20 Voluntários da Defesa Civil","alta",""
"Jari","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s) ou NUDEC(s) já existentes no Plano; o documento lista ações, órgãos, abrigos e recursos, sem indicar núcleos comunitários formalizados.","alta",""
"Júlio de Castilhos","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","N/A","alta",""
"Lagoa Bonita do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","menção a Voluntários de Defesa Civil (2)","""Voluntários de Defesa Civil: 2 — Responsável: Alexandre Antonio da Silva — Telefone: 51..985950020"" [ref_id:4]","alta",""
"Lagoa Vermelha","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","NÃO há menção a NUPDEC(s)/NUDEC(s) ou a voluntários/grupos comunitários no documento recuperado.","alta",""
"Lagoa dos Três Cantos","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","DOCUMENTOS: Nenhum documento foi anexado.","alta",""
"Lagoão","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a voluntários/Voluntários de Defesa Civil e voluntários de Soledade para apoio nas ações; lista de abrigos com responsáveis locais","“Voluntários de Defesa Civil 01 Daiani de Camargo 51 998018-6965” e “Voluntários de Soledade” e “Lista De Abrigos … Abrigo I Identificação: GINASIO DE ESPORTES HILDEMAR BORGES” [ref_id:6][ref_id:5][ref_id:4]","alta",""
"Lajeado","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""Acionar os Núcleos de Proteção e Defesa Civil Comunitários(NUPDECs);"" [ref_id:0][ref_id:1]","alta",""
"Lindolfo Collor","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento PLANCON lista instituições, contatos e atribuições da Defesa Civil municipal, mas não contém menção a NUPDEC(s)/NUDEC(s) existentes nem cita núcleos comunitários formalizados; não há trecho que afirme que NUPDECs serão organizados/serão criados.","alta",""
"Linha Nova","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","A estrutura organizacional inclui ... Coordenadoria Municipal de Proteção e Defesa Civil - COMDEC, Secretarias Municipais ..., Corpo de Bombeiros, Brigada Militar, entidades voluntárias e comunidade.","alta",""
"Machadinho","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","BOMBEIROS VOLUNTÁRIOS - Tipo: Bombeiros Voluntário de Machadinho ... Órgão: Voluntário","alta",""
"Maratá","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil – 20","alta",""
"Marau","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","sim","• CORPO DE BOMBEIROS VOLUNTÁRIOS DE MARAU ... 20 BOMBEIROS VOLUNTÁRIOS; • JIPE CLUBE DE MARAU ... 20 VOLUNTÁRIOS; • MOTO CLUBE MARAU ... 10 VOLUNTÁRIOS; Secretaria do Interior ... 10 VOLUNTÁRIOS; (estrutura emergencial: EFETIVOS: 109)","alta",""
"Marcelino Ramos","amarelo","semáforo (verde/amarelo/vermelho)","0","sim","sim","“Com a formalização da criação dos NUDEC’s o objetivo é enviar os alertas de forma direta para o cidadão, por meio de uma rede de comunicação.” [ref_id:1] ""Núcleos Comunitários de Defesa Civil – NUDEC’s"" listado como parte do sistema, mas não há listagem de NUDEC já formalizados; há menção à Associação Corpo de Bombeiros Voluntários e outras associações/voluntários na composição do sistema. [ref_id:5][ref_id:2]","alta",""
"Mariana Pimentel","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s) ou NUDEC(s) já existentes no documento. O texto lista atribuições do Conselho Municipal de Defesa Civil (COMDEC) e outras secretarias, por exemplo: ""Das atribuições: • Vistoria nas áreas de riscos; • Manter os dados atualizados no Sistema Integrado de Defesa Civil; ... • Indicar locais para abrigamento;"" e não cita núcleos comunitários formalizados (NUPDEC/NUDEC).","alta",""
"Marques de Souza","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Defesa Civil Municipal; Coordenador DC — Ricardo Kich — (51) 99911.2399 (lista de órgãos e equipe de gestão de contingência), além da referência explícita a ""Núcleo Comunitário de Proteção e Defesa Civil"" não encontrada — porém o plano lista a ""Defesa Civil Municipal"" como entidade estruturada e contatos institucionais já formalizados.","media",""
"Mata","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""Voluntários de Defesa Civil 01 Acilino Simas Genro neto 55 999388290""","alta",""
"Mato Castelhano","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Lista de responsáveis e assinaturas incluindo 'Coordenador Municipal da Defesa Civil' e múltiplos 'Coordenadora adjunta' indicados no documento de aprovação / folha de contatos do PLANCON pertencente ao COMDEC (exemplar pertencente ao: COMDEC).","media",""
"Mato Leitão","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a voluntários de Defesa Civil (8) e outros voluntários/grupos não formalizados","Voluntários de Defesa Civil 08 Gilberto C Pfeifer Coordenador da DC 99885-5020","alta",""
"Maximiliano de Almeida","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","RECURSOS VOLUNTÁRIOS ... Caminhão Caçamba 01 Mauri Dall Belo (54) 996967189 ... Trator de pneu Traçado 01 Romildo Gambeta (54) 999983881","alta",""
"Minas do Leão","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s) ou NUDEC(s) já existentes ou formalizados no documento do Plano de Contingência de Minas do Leão; o documento lista apenas coordenações, responsáveis, abrigos e recursos sem citar NUPDEC/NUDEC.","alta",""
"Montenegro","verde","semáforo (verde/amarelo/vermelho)","9","nao","N/A","NUDEC Bairro Olaria 1 Pr. ELIAS - Rua Olavo Bilac, 1924 51-99775-2626 [ref_id:0][ref_id:0][ref_id:0]","alta",""
"Mormaço","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento recuperado (PLANCON Município de Mormaço) não contém menção a ""NUPDEC"" ou ""NUDEC"" nem cita núcleos comunitários formalizados; listas de instituições e voluntários não foram apresentadas como NUPDEC.","alta",""
"Morro Redondo","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 4 Fabricio R. Zanetti (53) 98437-0045","alta",""
"Morro Reuter","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC ou núcleos comunitários formalizados no documento; cita apenas responsabilidades da Defesa Civil municipal, lista de abrigos e ações a desenvolver.","alta",""
"Muliterno","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Execução de programa de orientação comunitária para adoção e interligação de medidas preventivas e de socorro; Otimizar as ações conjuntas da Sociedade Civil e do Estado em resposta aos efeitos da crise hídrica; 4.1 Abrigos: Salão Comunitário Santo Antônio de Muliterno; Ginásio Escola Estadual Raimundo Pelissaro; Ginásio Esporte Clube Juventude","alta",""
"Nicolau Vergueiro","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","5.4 — Recebimento, organização e distribuição de doações com participação de coordenadores de defesa civil e voluntários; (não há menção a NUPDEC/NUDEC formalizado no documento).","alta",""
"Nova Alvorada","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC, apenas informações sobre responsáveis, equipamentos, abrigos e voluntários não são citados no documento recuperado.","alta",""
"Nova Bréscia","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil Guarda Municipal Brigada Militar 01 SOLDADO PITOL (51) 98135.2013","alta",""
"Nova Esperança do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s) ou NUDEC(s) já constituídos no documento; aparecem listas de abrigos e indicações de coordenação municipal e voluntários não são explicitamente citados como NUPDEC formalizados nos trechos analisados (ex.: ""Lista De Abrigos""; seção de objetivos e acionamento do plano).","media",""
"Nova Hartz","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Preparação dos abrigos. / Abrigos: Associação recreativa e cultural irmãos unidos de canudos ... Barracão Comunidade Católica / 5.4 Abrigos / Sociedade canudos, barracão evangélico e barracão católico","alta",""
"Nova Palma","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","assinaturas e cargos: Coordenadora Municipal, COMPDEC; Coordenador Adjunto, COMPDEC — indicação de COMPDEC formal constituído no plano e presença de lista de responsabilidades e contatos da Coordenadoria Municipal de Proteção e Defesa Civil (COMPDEC).","alta",""
"Nova Santa Rita","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Coordenadoria Municipal de Defesa Civil: ... Defesa Civil Nova Santa Rita tel. 989228949","media",""
"Novo Cabrais","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 01 Carla Regina Garske (51)99813-0925","alta",""
"Novo Hamburgo","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","O Plano Municipal de Contingência foi elaborado e aprovado pelas entidades e órgãos integrantes do Sistema Municipal de Defesa Civil, conforme listado na página de assinaturas deste documento.","alta",""
"Não-Me-Toque","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""existem grupos de whaMpp bem organizados que podem contíibuk em muito para o Alerta da DeÍesa Civil.""","alta",""
"Paim Filho","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Nenhuma menção a NUPDEC/NUDEC ou núcleos comunitários formalizados encontrada no Plano de Contingência; há lista de abrigos e contatos, e referências a ""voluntários"" em bombeiros voluntários, mas não a NUPDEC formalizado.","alta",""
"Pantano Grande","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento: Plano de Contingência Município de Pantano Grande/RS (capa) e ficha municipal; não há menção a NUPDEC/NUDEC ou a voluntários/grupos no conteúdo recuperado.","media",""
"Paraíso do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","RESUMO DOS RECURSOS — lista ""Voluntários de Defesa Civil: 1""; não há menção a NUPDEC/NUDEC existentes nem listados em todo o documento recuperado","alta",""
"Pareci Novo","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Nenhuma menção a NUPDEC/NUDEC ou núcleos comunitários formalizados foi encontrada nas páginas do Plano de Contingência recuperadas; o documento descreve objetivos, ativação do plano, áreas de risco e dados cadastrais, sem listar NUPDECs existentes.","alta",""
"Parobé","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","N/A","alta",""
"Passa Sete","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a voluntários de Defesa Civil (10) e convocação de voluntários para auxílios em emergências","""Voluntários de Defesa Civil: 10 — Marina Ruoso — phone shown."" [ref_id:4][ref_id:3]","alta",""
"Passo Fundo","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Também havendo necessidade acionará os voluntários cadastrados neste Plano de Contingência.","alta",""
"Passo do Sobrado","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a voluntários (""Voluntário defesa civil: 10"") e grupos/recursos comunitários (abrigos, escolas)","Resumo dos recursos mostra ""Voluntário defesa civil: 10"" e listas de abrigos; nenhum documento cita ""NUPDEC"" ou ""NUDEC"" existente","alta",""
"Paverama","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento não lista NUPDEC/NUDEC existentes nem cita núcleos formalizados; menciona apenas a Coordenadoria Municipal de Defesa Civil, voluntários em atividades pontuais e abrigos identificados (por exemplo, ""Equipe da Defesa Civil; Prefeito; Vice-prefeito; Secretário de Obras..."" e lista de abrigos).","alta",""
"Pedras Altas","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","O presente plano foi elaborado e aprovado pelos órgãos e instituições integrantes do Sistema Municipal de Proteção e Defesa Civil de Pedras Altas-RS, identificados na página de assinaturas","alta",""
"Pedro Osório","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento: PLANO DE CONTINGÊNCIA Município de PEDRO OSÓRIO/RS (2025) — conteúdo recuperado inclui capa e ficha cadastral/contatos; não há menção a NUPDEC(s)/NUDEC(s) ou a voluntários/grupos comunitários nas páginas analisadas.","media",""
"Pelotas","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento lista órgãos, secretarias, protocolos e equipes (ex.: ""Defesa Civil"", ""Secretaria Municipal de Assistência Social: identificação e apoio a pessoas vulneráveis, organização e controle de abrigos municipais""), mas não menciona NUPDEC(s)/NUDEC(s) já existentes; referências a organização de equipes e ativação de protocolos estão em várias páginas (ex.: pp. 63, 69, 72, 79) sem citar NUPDECs formais.","alta",""
"Pinhal Grande","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Voluntários de Defesa Civil: 08 — Giovano Bertoldo","media",""
"Pinheiro Machado","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","menção a Voluntários de Defesa Civil (lista de recursos: ""Voluntários de Defesa Civil: 01"") e Bombeiros Voluntários listados como recurso","Lista de recursos: ""Bombeiros Voluntários: 01""; ""Voluntários de Defesa Civil: 01"" [ref_id:5]","alta",""
"Piratini","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Recursos / Informações Gerais: Voluntários Defesa Civil: 05 (contact and phone given) [ref_id:1]","alta",""
"Porto Alegre","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Participação social e NUDECs ... acionar lideranças locais e NUDECs para apoio na disseminação de informações; SIMPRODEC ... participação social, especialmente por meio dos NUDECs","media",""
"Portão","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","No documento não há menção a NUPDEC(s) ou NUDEC(s) já existentes ou formalizados; o texto trata da Coordenação Municipal de Proteção e Defesa Civil (COMPDEC), atribuições, órgãos envolvidos, abrigos e voluntários institucionais, sem listar NUPDECs formalizados.","alta",""
"Pouso Novo","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Grupamento especializado em Busca e Salvamento da Defesa Civil Municipal de Pouso Novo - Composto por 04 socorristas","alta",""
"Poço das Antas","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","O documento apresenta recursos, vulnerabilidades, estratégias de resposta, contatos da Coordenadora Municipal de Defesa Civil e existência de abrigos (ginásio escolar), mas não lista NUPDEC(s)/NUDEC(s) existentes nem cita criação futura de NUPDECs.","alta",""
"Presidente Lucena","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil: 3","alta",""
"Progresso","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""Voluntários de Defesa Civil: 03"" [ref_id:2]","alta",""
"Putinga","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento listado como ""PLANO DE CONTINGÊNCIA"" para Putinga/RS descreve objetivos, áreas de risco, eventos adversos e organograma/contatos da defesa civil municipal, sem citar NUPDEC(s) existentes nem menção a núcleos comunitários formalizados.","alta",""
"Quevedos","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Preliminary note listing ""Voluntários Locais e ONGs"" (response and assistance).","alta",""
"Quinze de Novembro","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a abrigos e responsáveis locais (Comunidade Católica, Lar Evangélico, Clube) e listas de voluntários/recursos (bombeiros, brigada, Defesa Civil municipal) sem indicação de NUPDEC formalizado","Lista De Abrigos ... Abrigo I Identificação: Comunidade Católica Santa Bárbara ... Abrigo II Identificação: Lar Evangélico ... Abrigo III Identificação: Clube 25 de julho; Defesa Civil 02 Laudeno Eickstaedt Janice de Oliveira Pereira; Bombeiros 02 Claudio Adam Alexandre Budke","alta",""
"Relvado","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O presente documento trata dos procedimentos organizacionais a serem adotados pela Prefeitura Municipal de Relvado objetivando a preparação e resposta a eventos adversos classificados como desastres geológicos.","alta",""
"Restinga Sêca","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento lista órgãos, contatos, abrigos e ações de resposta (COMDEC, Secretaria de Obras, Brigada Militar, Bombeiros, abrigos), sem mencionar NUPDEC(s)/NUDEC(s) existentes ou a criação futura destes.","alta",""
"Rio Grande","verde","semáforo (verde/amarelo/vermelho)","4","nao","NUPDEC Socorristas, NUPDEC Bombeiro Civil, NUPDEC Jipeiros, NUPDEC Rasioamadores","Empresas, ONGs e Voluntariado:  NUPDEC Socorristas, NUPDEC Bombeiro Civil, NUPDEC Jipeiros, NUPDEC Rasioamadores.","alta",""
"Rio Pardo","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","“Equipes Voluntári/s (03 funcionários de c/d/ secretári/);” [ref_id:5]","alta",""
"Riozinho","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC/NUDEC já existentes ou formalizados no plano; há listas de pontos de encontro, abrigos e procedimentos de mobilização da comunidade (ex.: ""Identificação dos pontos de encontro... Prefeitura Municipal... Pátio da Secretaria de Obras... Salão paroquial... Centro do Idoso de Riozinho"") e instruções de mobilização/alerta (meios: telefone, carro com alto‑falante, redes sociais). [ref_id:12][ref_id:8][ref_id:4]","alta",""
"Roca Sales","vermelho","semáforo (verde/amarelo/vermelho)","0","sim","N/A","Observações: ● Está em fase de elaboração o Mapeamento com demonstrativo das áreas de risco, bem como, local onde será a Sede da Defesa Civil do Município de Roca Sales.","alta",""
"Rolante","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","NÃO há menção a NUPDEC(s)/NUDEC(s) existentes ou formalizados no documento recuperado; o texto descreve atribuições da Defesa Civil, Corpo de Bombeiros e voluntários, mas não cita NUPDEC já constituídos.","alta",""
"Saldanha Marinho","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento: PLANO DE CONTINGÊNCIA Município de Saldanha Marinho/ RS — não há menção a NUPDEC/NUDEC, apenas Coordenação Municipal de Defesa Civil e ações gerais de socorro, remoção e assistência (ex.: “Coordenadoria Municipal de Defesa Civil: ...” ; “5.1 Socorro as vítimas; 5.2 Remoção de pessoas de áreas de risco; 5.3 Assistência a pessoas desabrigadas;”)","alta",""
"Salto do Jacuí","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","Voluntários de Defesa Civil (quantidade 0) e lista de abrigos e responsáveis","Página 'RESUMO DOS RECURSOS' lista 'Voluntários de Defesa Civil 0' e documentos mostram 'Lista De Abrigos' e responsáveis, sem menção a NUPDEC/NUDEC já formalizado","alta",""
"Salvador do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","5.3 Salvamento e resgate de vitimas Bombeiros voluntários Marcia Forneck 993931 1250 [ref_id:1][ref_id:4]","alta",""
"Sananduva","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","não há menção a NUPDEC/NUDEC existentes; texto lista COMPDEC, coordenações, voluntários e sedes de crise, mas não cita NUPDEC já formalizados (ex.: ""Os membros da COMPDEC (Coordenadoria de Proteção e Defesa Civil) ...""; ""(Assistência Social, voluntários)"") [ref_id:0][ref_id:1]","alta",""
"Santa Bárbara do Sul","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Rosana Donato — Coordenadora Municipal de Proteção e Defesa Civil; Paulo Roberto Dal Castel — Presidente do Sistema Municipal de Proteção e Defesa Civil (assinaturas e quadro de atribuições do COMDEC) [documento lista COMDEC/Membros e cargos, incluindo Coordenadora Municipal de Proteção e Defesa Civil e Presidente do Sistema Municipal de Proteção e Defesa Civil]","alta",""
"Santa Cecília do Sul","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Nenhuma menção a NUPDEC(s)/NUDEC(s) existentes ou formalizados foi encontrada no Plano de Contingência; o documento lista contatos, atividades de resposta, pontos sensíveis, estoques e equipamentos, e indica que ""Nenhum documento foi anexado."" [ref_id:0][ref_id:3][ref_id:5]","alta",""
