"municipio","valor","unidade","abrigos_listados","vagas_abrigos","populacao_area_risco","evidencia","confianca","erro"
"Doutor Ricardo","verde","semáforo (verde/amarelo/vermelho)","sim","50 pessoas","N/A","Centro de Referência da Assistência Social - CRAS. Rua Clemente Schussler, nº - 28 Centro. Márcia Tonello (51) 9 8186-3743 50 pessoas [ref_id:0][ref_id:2]","alta",""
"Eldorado do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","1.720 pessoas","N/A","Assembleia Rincão Ângelo Colovini -30.085906° -51.662971° 80 pessoas; Escola Paraná Sidolfo da Silva -30.099532° -51.661772° 130 pessoas; Salão Paroquial Antenor Mercante -30.099002° -51.660453° 400 pessoas; Escola Roseli Estrada do Açude -30.078130° -51.619064° 120 pessoas; CTG Sesmaria Farrapo José Falcão Moreira -30.096496° -51.635108° 600 pessoas; Escola Otávio Gomes Av. dos Pinheiros -30.103192° -51.637606° 250 pessoas; Escola Sepé Tiaraju R. Parque dos Eucaliptos -30.116002° -51.616700° 70 pessoas; Piquete Rua Sete -30.104415° -51.656414° 70 pessoas; TOTAL 1.720 pessoas","alta",""
"Encantado","verde","semáforo (verde/amarelo/vermelho)","sim","2400","N/A","ABRIGOS TEMPORÁRIOS 1-Parque Municipal João Batista Marchese 2.000 pessoas Estrada dos Imigrantes, 500 2-Salão Comunitário da Vila Moça 50 pessoas Rua Ernesto Gregoire, 710 3-Salão Paroquial 50 pessoas Rua Padre Anchieta, 1625 4-Salão Comunitário São José 100 pessoas Estrada São José 5-Salão Comunitário de Nossa Senhora Aparecida 100 pessoas Rua Cedro / Vila Popular","alta",""
"Encruzilhada do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","1500","N/A","Abrigo I Identificação: GINÁSIO MESQUITÃO Endereço: AVENIDA RIO BRANCO ... Capacidade: 200 pessoas[ref_id:3] Abrigo II Identificação: GINÁSO RODOLFO TABORDA Endereço: AVENIDA RODOLFO TABORDA ... Capacidade: 800 pessoas[ref_id:3] Abrigo III Identificação: CENTRO DE FORMAÇÃO DIVINA PROVIDÊNCIA Endereço: RUA DA HORTA, 51 – VILA DA FONTE ... Capacidade: 500 pessoas[ref_id:2]","alta",""
"Erebango","verde","semáforo (verde/amarelo/vermelho)","sim","1.070","3.054","ABRIGO 01 Identificação: Ginásio da Escola Municipal de Ensino Fundamental 11 de Abril ... Capacidade: 1.000 pessoas ... ABRIGO 02 Identificação: Centro Multiuso ... Capacidade: 70 pessoas ... População: 3.054 habitantes","alta",""
"Erechim","verde","semáforo (verde/amarelo/vermelho)","sim","2550","105754","Identificação: Ginásio Municipal Bela Vista...Capacidade: 500 Pessoas...[Identificação: Ginásio Poliesportivo Municipal Renan Carlos Agnolin...Capacidade: 1.200]...[Pavilhão I – Parque ACIIE...Capacidade: 850]...População: 105.754","alta",""
"Ernestina","verde","semáforo (verde/amarelo/vermelho)","sim","500","3.097","Abrigo I Identificação: Ginásio Municipal Sérgio Dias - Manivela Endereço: Rua Professor Adão Oscar Wiebelling ... Capacidade: 300 pessoas [ref_id:1] Abrigo II Identificação: Salão da Paróquia Católica São José Endereço: Rua Alfredo Eitelwein (em frente a praça) ... Capacidade: 200 pessoas [ref_id:1] Nome: MUNICÍPIO DE ERNESTINA População: 3.097 - CENSO IBGE 2022 [ref_id:3]","alta",""
"Espumoso","verde","semáforo (verde/amarelo/vermelho)","sim","3000","15173","Lista De Abrigos ... Abrigo I: capacidade 1,000 pessoas; Abrigo II: capacidade 1,200 pessoas; Abrigo III: capacidade 800 pessoas. [PLANO DE CONTINGÊNCIA Município de Espumoso/ RS JULHO / 2023] e MUNICÍPIO ... população (15,173)","alta",""
"Estação","verde","semáforo (verde/amarelo/vermelho)","sim","500","N/A","ABRIGO I\n\nGinásio Municipal\nRua Fiorello Piazzetta – 95\nResponsável – Glaucia ou Geverson\nCapacidade – 500 pessoas","alta",""
"Esteio","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","aproximadamente 8.500 pessoas","LOCAIS PARA ABRIGOS LOCAL ENDEREÇO RESPONSÁVEL CONTATO CMEB Eva Karnal Rua Alvício Nienow, 202 CMEB Vila Olímpica Rua Hugo Guilherme Klein, 198 CMEB Luiza Fraga Rua Agostinho Camilo de Borba, 530 CMEB Maria Lygia Rua Oswaldo Jesus Vieira, 345 CMEB Maria Marques Rua Manoel Santos, 212 Salão da Paróquia São Sebastião Rua Bom Jesus, 206","alta",""
"Estrela Velha","verde","semáforo (verde/amarelo/vermelho)","sim","1923","N/A","""Parque de Eventos Municipal Oscar Leite de Morais"" ... RSC 481, KM 77, nº 2707 ... capacidade (1.923 pessoas)","alta",""
"Estrela","verde","semáforo (verde/amarelo/vermelho)","sim","900","N/A","*Ginásio do Cristo Rei – Rua Julio de Castilho nº 1283, Cristo Rei\nCapacidade: 400 pessoas\n*Ginásio Paróquia São Cristóvão – Rua 1 de Maio, 15, Bairro Boa União\nCapacidade: 300 pessoas\n*Ginásio da linha Lenz – Linha Lenz, interior de Estrela\nCapacidade: 200 pessoas","alta",""
"Estância Velha","amarelo","semáforo (verde/amarelo/vermelho)","sim","N/A","49.440","Lista de Abrigos Abrigo I Identificação: Endereço: ... Capacidade: Abrigo II Identificação: Endereço: ... Capacidade: Abrigo III Identificação: Endereço: ... Capacidade: Estância Velha possui uma população de 49.440 habitantes (estimativa IBGE-2024)","alta",""
"Faxinal do Soturno","amarelo","semáforo (verde/amarelo/vermelho)","sim","N/A","6.702","A Secretaria da Educação ... deve ser acionada quando for necessário utilizar escolas e ginásios como abrigos temporários para pessoas desalojadas ou desabrigadas em situações de emergência.","alta",""
"Fazenda Vilanova","amarelo","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","7. Lista de Abrigos \n\n Abrigo 1 \n\nIdentificação \n\nEndereço \n\nResponsável \n\nTelefone Fixo \n\nÁrea (m2) \n\nCozinha \n\nBanheiros","alta",""
"Feliz","verde","semáforo (verde/amarelo/vermelho)","sim","560","N/A","Abrigo I: Centro Evangélico – Pavilhão ... Endereço: Rua Santa Catarina, 694 – Centro ... Capacidade: 320 pessoas; Abrigo II: Comunidade Católica – Pavilhão ... Endereço: Rua Santa Catarina, 180 – Centro ... Capacidade: 120 pessoas; Abrigo III: EMEF Alfredo Spier ... Endereço: Rua Leonardo Dietz, 322 – Matiel ... Capacidade: 120 pessoas","alta",""
"Floriano Peixoto","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","1434","ABRIGOS - 2 ... Tipo: ESCOLA Nome: EEMF Floriano Peixoto Endereço: Rua Antonio Pauletti 1109 ... Área disponível para alojamento(m²): 500; ABRIGOS - 1 ... Tipo: GINASIO Nome: Romano Seminoti Endereço: Rua Antônio Pauletti, n° 1217, Centro ... Área disponível para alojamento(m²): 800; Nº de afetados: 1434","alta",""
"Fontoura Xavier","verde","semáforo (verde/amarelo/vermelho)","sim","1400","N/A","Abrigo I 1- Ginásio Poliesportivo Tio Onofre Av. 09 de julho – centro – Fontoua Xavier /RS ... Capacidade 500 pessoas; Abrigo II 2- Salão Paroquial / Paroquia Santa Terezinha Praça Matriz – centro – Fontoua Xavier /RS ... Capacidade 700 pessoas; Abrigo III 3- Ginásio de Esportes Vila Assis Vila Assis ... Capacidade 200 pessoas","alta",""
"Formigueiro","verde","semáforo (verde/amarelo/vermelho)","sim","220","N/A","Identificação: Ginásio de Esportes; Endereço: Rua Luiz Motta; Capacidade: 220 pessoas","alta",""
"Forquetinha","verde","semáforo (verde/amarelo/vermelho)","sim","900","2393","Lista de Abrigos: Abrigo 01 Identificação: Ginasio da Comunidade Evangelica Capacidade: 150 pessoas Endereço: Avenida Marthin Luther,s/n Centro, Forquetinha-RS[Abrigo 02 Identificação: Parque de Exposições Christoph Bauer Capacidade: 500 pessoas Endereço: Ers 424 , km 14,5 Forquetinha-RS[Abrigo 03 Identificação: Sociedade Escolar 15 de Novembro Capacidade: 50 pessoas Endereço: Estrada Geral s/n, Bauereck, Forquetinha[Abrigo 04 Identificação: Comunidade Catolica de São Vitor Capacidade: 30 pessoas Endereço: Estrada Geral s/n, São Vitor, Forquetinha[Abrigo 05 Identificação: Antiga Escola Picada Sontag Capacidade: 30 pessoas Endereço: Estrada Geral s/n, Arroio Abelha 1, Forquetinha[Abrigo 06 Identificação: Esporte Clube Atletico Capacidade: 30 pessoas Endereço: ERS 421, S/n, Atletico, Forquetinha[Abrigo 07 Identificação:Antiga Escola Henrique Emilio Griebler Capacidade: 30 pessoas Endereço: Erst 421 s/n, Arroio Alegre, Forquetinha[Abrigo 08 Identificação: Salão Araguari Capacidade: 30 pessoas Endereço: Estrada Geral s/n, Araguari, Forquetinha[Abrigo 09 Identificação: Esporte Clube Nacional Capacidade: 30 pessoas Endereço: Estrada Geral s/n, Vila Prass, Forquetinha] População: 2.393 Habitantes","alta",""
"Fortaleza dos Valos","verde","semáforo (verde/amarelo/vermelho)","sim","2150","4477","Lista De Abrigos ... Abrigo I Identificação: Ginásio de Esportes Rossatto Endereço: Rua dos Lusos ... Capacidade: 2000 pessoas[ref_id:2][ref_id:2] Abrigo II Identificação: Ginásio Escola 18 de Abril Endereço: Rua Rubin ... Capacidade: 250 pessoas[ref_id:4] Abrigo III Identificação: CTG Estancia do Umbu Endereço: Rua dos Lusos ... Capacidade: 300 pessoas[ref_id:4] Abrigo IV Identificação: Salão Paroquial São Pedro Endereço: Rua Padre Pompeo ... Capacidade: 500 pessoas[ref_id:4] Ginásio Municipal de Fazenda Colorado Endereço: Rua 4 de Maio ... Capacidade: 300 pessoas[ref_id:4] Ginásio Escola Santa Cruz Endereço: Avenida 20 de Setembro ... Capacidade: 300 pessoas[ref_id:4]","alta",""
"Gaurama","verde","semáforo (verde/amarelo/vermelho)","sim","150","5.665","Abrigo I Identificação: Ginásio Esportivo Municipal: Vereador Guilherme Francescon Endereço: Rua João Amândio Sperb, 338 - Centro, Gaurama/RS ... Capacidade: 150 pessoas[ref_id:0][ref_id:2]","alta",""
"Gentil","verde","semáforo (verde/amarelo/vermelho)","sim","2375","1677","Identificação:Centro Comunitário Endereço:Avenida 20 de Março, S/N - Centro ... Capacidade:1.000 ... Identificação:GinásioMunicipal Endereço:Avenida Primavera, S/N - Centro ... Capacidade:875 ... Identificação:CTG Velha Tapera Endereço:Avenida Primavera, S/N - Centro ... Capacidade:500 ... Município Nome: Gentil /RS População: 1.677","alta",""
"Getúlio Vargas","verde","semáforo (verde/amarelo/vermelho)","sim","300","N/A","Lista De Abrigos Abrigo I Identificação: Ginásio Espostivo Municipal Endereço: Rua Afonso Tochetto ... Capacidade: 150 pessoas ... Abrigo II Identificação: Centro Comunitário Centenário Endereço: Rua Senador Salgado Filho, Centro ... Capacidade: 150 pessoas","alta",""
"Glorinha","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","7.658","ABRIGO TEMPORÁRIO GLORINHA FUTEBOL CLUBE Endereço: Av. Dr. Pompílio Gomes Sobrinho,23380 Centro - Glorinha","alta",""
"Gramado Xavier","verde","semáforo (verde/amarelo/vermelho)","sim","2000","3304","Abrigo I Identificação: GIESPA-Ginásio Paroquial Endereço: Rua 25 de junho ... Capacidade: 1.800 pessoas[ref_id:0] Abrigo II Identificação: Cabana dos Funcionários Municipais Endereço: Rua 07 de Setembro, s/n° ... Capacidade: 200 pessoas[ref_id:0] População: 3.304 – Censo IBGE 2022[ref_id:4]","alta",""
"Gravataí","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","8.2.2. Organização da área afetada ... Abrigos. (Plano de Contingência de Gravataí) [indica que há abrigos mas não lista nomes/endereços nem capacidade]","alta",""
"Guaíba","amarelo","semáforo (verde/amarelo/vermelho)","sim","N/A","99.186 (estimativa 2016)","Os desalojados que não puderem, serão conduzidos para os seguintes locais de abrigo, previamente vistoriados e liberados pelo coordenador municipal ou seu representante.[ref_id:12] / Sua população estimada em 2016 era de 99.186 habitantes.[ref_id:2]","alta",""
"Harmonia","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","LOCAL: PARQUE MUNICIPAL JOSÉ ALBINO JACOBY RUA 25 DE JULHO, 1810","alta",""
"Herval","verde","semáforo (verde/amarelo/vermelho)","sim","300","6191","Abrigo I: Ginásio Municipal de Esportes ... capacidade 200 pessoas; Abrigo II: Estação Basílio ... capacidade 50 pessoas; Abrigo III: Deus é Vida ... capacidade 50 pessoas. / município: população (~6.191 habitantes).","alta",""
"Herveiras","verde","semáforo (verde/amarelo/vermelho)","sim","450","N/A","EMEF Maurício Cardoso ... com capacidade para 150 pessoas.[ref_id:8] EMEF General Osório ... com capacidade para 100 pessoas.[ref_id:8] EMEF São Luiz ... com capacidade para 200 pessoas.[ref_id:8]","alta",""
"Ibarama","verde","semáforo (verde/amarelo/vermelho)","sim","1200","N/A","Abrigo I ... capacidade: 400 pessoas; Abrigo II ... capacidade: 400 pessoas; Abrigo III ... capacidade: 400 pessoas","alta",""
"Ibiaçá","verde","semáforo (verde/amarelo/vermelho)","sim","1300","4710","Lista de Abrigos: Abrigo I: capacidade 300 pessoas; Abrigo II: capacidade 300 pessoas; Abrigo III: capacidade 200 pessoas; Abrigo IV (Salão Comunitário da Vila Nova, Rua D, 75): capacidade 200 pessoas; RESUMO DOS RECURSOS (veículos, hospitais, etc.) e DADOS DO MUNICÍPIO: População: 4.710 – Censo IBGE 2010.","alta",""
"Ibiraiaras","verde","semáforo (verde/amarelo/vermelho)","sim","1.650","N/A","Abrigo I: ...capacidade 400 pessoas; Abrigo II: ...capacidade 280 pessoas; Abrigo III: ...capacidade 540 pessoas; Abrigo IV: ...capacidade 430 pessoas.","alta",""
"Ibirapuitã","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","4.141","Nome: Ginásio Municipal de Esportes João Luiz Bortoncello; Endereço: Rua Bento Gonsalves 425 [ref_id:0] Nome: Salão Paroquial Nossa Senhora Aparecida; Endereço: Rua Largo da Matriz 84 [ref_id:0] População: 4141 [ref_id:5]","alta",""
"Ibirubá","verde","semáforo (verde/amarelo/vermelho)","sim","2534","21583","Abrigo I: ginásio municipal Rua Rui Barbosa, Bairro Floresta — Capacidade: 650 pessoas; Abrigo II: escola Rua Getulio Vargas 1007, Bairro Centro — Capacidade: 800 pessoas; Abrigo III: ginásio Rua Paulina Streit 1247, Bairro Planalto — Capacidade: 1084 pessoas; População: 21.583","alta",""
"Igrejinha","verde","semáforo (verde/amarelo/vermelho)","sim","190","N/A","1- Barracão Católico do Bairro 15 de Novembro Rua Emílio Lamb, 374 Bairro 15 de Novembro Capacidade: 100 Pessoas; 2- Centro Comunitário do Loteamento Morada Verde Rua Theobaldo Guilherme Lanz 990 Bairro Invernada Capacidade: 50 Pessoas; 3- Associação de Moradores do Loteamento COHAB Rua Carlos Chagas nº 02 Bairro Figueira Capacidade: 40 Pessoas; Materiais • 04 abrigos","alta",""
"Ilópolis","amarelo","semáforo (verde/amarelo/vermelho)","sim","N/A","4.157","Seção 4 (Área de Risco do Município) lista locais específicos: ""Rua Augusto Tomasini — Enxurradas — Obstrução e alagamento.""; o resumo de recursos indica ""3 escolas/creches"" como recurso disponível; população municipal indicada como ""população 4.157"".","alta",""
"Imigrante","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Lista de Abrigos: Abrigo 1 Identificação Ginásio Municipal de Esportes Endereço Rua Augusto Gärtner, - Centro Abrigo 2 Centro Comunitário Av. Dr. Ito João Snel, 640 - Centro Abrigo 3 Arroio da Seca Rua Frei Tiago, 130 - Daltro Filho Abrigo 4 Salão Comunitário de Daltro filho Linha Rosenthal Sociedade de Água da Linha Rosenthal Área (m2) 2.000,00 934,05 1.200,00 300,00","alta",""
"Ipiranga do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","1050","1720","Abrigo I: ...Capacidade é dada como 1.000 pessoas...; Abrigo II: ...Capacidade é 50 pessoas...; Abrigo III: ...campos em branco...; Abrigo IV: template em branco...; DADOS DO MUNICÍPIO ... população (Censo IBGE 2023: 1.720)","alta",""
"Itaara","verde","semáforo (verde/amarelo/vermelho)","sim","300","5573","Abrigo I ... Endereço: Rua Marcelino de Almeida ... Capacidade: 300 pessoas; Áreas de Risco: ""Todo o Município — Vendaval""; Página municipal com população (~5,573)","alta",""
"Itapuca","verde","semáforo (verde/amarelo/vermelho)","sim","≈550 pessoas","N/A","LISTA DE ABRIGOS – RESPONSÁVEIS ABRIGOS; Ginásio Estadual ... Capacidade listada (~250 pessoas); Ginásio Municipal ... Capacidade listada (~300 pessoas) [Lista de Abrigos – Itapuca] [RESUMO DOS RECURSOS - COMDEC ITAPUCA]","alta",""
"Ivorá","verde","semáforo (verde/amarelo/vermelho)","sim","2766","2156","Abrigo I: Ginásio Augusto Zanela, localizado na Rua Bento Gonçalves ... Capacidade listada como 1.570 pessoas; Abrigo II: Salão Paroquial, na Rua São José ... Capacidade listada como 1.196 pessoas; Top-left shows municipal header information (municipality name, population ~2,156) [ref_id:1][ref_id:2]","alta",""
"Ivoti","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","11.1 CENTROS DE ACOLHIMENTO 11.1.1 Identificação 11.1.2 Localização 11.1.3 Gerenciamento dos Centros de Acolhimento","alta",""
"Jacuizinho","verde","semáforo (verde/amarelo/vermelho)","sim","1186","N/A","Identificação: João Malaquias Castilhos Fiuza — Endereço: Propício Fernandes, SN, Centro — Capacidade: 1.186 pessoas","alta",""
"Jaguari","verde","semáforo (verde/amarelo/vermelho)","sim","690","10579","Identificação: GINÁSIO MUNICIPAL DE ESPORTES DANIEL LENA MARCHIORI ... Capacidade: 300 pessoas Identificação: GINÁSIO DE ESPORTES ESCOLA SÃO JOSÉ ... Capacidade: 240 pessoas Identificação: SALÃO PAROQUIAL ... Capacidade: 150 pessoas População: 10579","alta",""
"Jaguarão","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","26.603","As ações de abrigo ... serão conduzidos para os seguintes locais de abrigo, previamente vistoriados e liberados pelo coordenador municipal ou seu representante. ... 03 abrigos · Salão do antigo Clube Social da Vencato · Ginásio de Esportes da Integração · Ginásio de Esportes Dario de Almeida Neves","alta",""
"Jari","verde","semáforo (verde/amarelo/vermelho)","sim","790","3349","ABRIGOS DISPONÍVEIS ... ABRIGO 01 Identificação: Centro Esportivo (Ginásio Municipal) Endereço: Rua Alfredo dos Santos, nº 253, Bairro Centro ... Capacidade: 400 pessoas ... ABRIGO 02 Identificação: Salão Comunitário Endereço: Localidade de Santo Antônio, SN, Zona Rural do Município ... Capacidade: 200 pessoas ... ABRIGO 03 Identificação: Salão Comunitário Endereço: Localidade dos Souza, SN, Zona Rural do Município ... Capacidade: 190 pessoas ... População: 3.349 hab (IBGE/2022)","alta",""
"Júlio de Castilhos","verde","semáforo (verde/amarelo/vermelho)","sim","200","18.226","Local para abrigo: ... capacidade (200)","alta",""
"Lagoa Bonita do Sul","verde","semáforo (verde/amarelo/vermelho)","sim","150","2852","Lista De Abrigos: Identified facility: GINASIO MUNICIPAL DE ESPORTES BONITÃO ... Endereço: AV. JOSE LUCHESE ... Capacidade: 150 pessoas; Basic statistics ... population shown as 2,852","alta",""
"Lagoa Vermelha","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","ABRIGOS - 1 Tipo: GINASIO Nome: Adolfo Stela Endereço: Rua 14 de Julho Estrutura Área Construída (m²): 1200 Área disponível para alojamento (m²): 650 3. Banheiros: sim - (masculinos: 5, femininos: 5)","alta",""
"Lagoa dos Três Cantos","verde","semáforo (verde/amarelo/vermelho)","sim","Área disponível para alojamento: 700 m² (ABRIGOS-3) + 200 m² (ABRIGOS-4) + 600 m² (ABRIGOS-2) + 400 m² (outra entrada) — documenta áreas disponíveis, não um total de vagas em número de pessoas","Nº de afetados: 1.738 (em cenário de seca) / 945 (em outro cenário de enxurradas) / 1.738 e outros valores conforme mapas descritos","Listagem de abrigos com tipos, nomes, endereços, responsáveis, contatos, coordenadas e áreas disponíveis para alojamento (ex.: ""ABRIGOS - 3 ... Área disponível para alojamento 700 m²""; ""ABRIGOS - 4 ... Área disponível para alojamento 200 m²""; ""ABRIGOS - 2 ... Centro Educacional Linha Glória ... área disponível para alojamento 600 m²"")","alta",""
"Lagoão","verde","semáforo (verde/amarelo/vermelho)","sim","200","5341","Identificação: GINASIO DE ESPORTES HILDEMAR BORGES Endereço: RUA GABRIEL NUNES Capacidade: 200 pessoas","alta",""
"Lajeado","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Sendo assim se torna o Parque do Imigrante o abrigo principal e prioriza-se a utilização do mesmo em primeiro plano. (Anexo 6: Lista de Abrigos / A lista de abrigos está no anexo 9.)","alta",""
"Lindolfo Collor","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","850 famílias afetadas","Resumo: Inundações,invadindo as casas e espaços publicos. Enxurradas que descem dos morros, causando deslizamentos de barrancos e pedras. População Tipo Quantidade Complemento Família 850 850 familias afetadas pelo evento climatico","alta",""
"Linha Nova","verde","semáforo (verde/amarelo/vermelho)","sim","30 familias","N/A","Abrigo II Capacidade: 30 familias","media",""
"Machadinho","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","2130","ABRIGOS - 1 Tipo: CENTRO_SOCIAL Nome: Clube União Endereço: Rua General Osório Área disponível para alojamento(m²): 1100; ABRIGOS - 2 Tipo: ESCOLA Nome: E.M.E.F. Prof.ª Murian Piovezan de Lima Endereço: Rua João José Meassi, nº 87 Área disponível para alojamento(m²): 500; ABRIGOS - 3 Tipo: GINASIO Nome: Ginásio E.E.E.M. Castro Alves Área disponível para alojamento(m²): 800; N° de afetados: 2130","alta",""
"Maratá","verde","semáforo (verde/amarelo/vermelho)","sim","230","2.470","Abrigo I: ... Rua Bernardo Rech Nº 100, Centro ... Capacidade: 10 pessoas.[ref_id:0] Abrigo II: ... Rua Theodoro Schrammel, S/N, Centro ... Capacidade: 100 pessoas.[ref_id:0] Abrigo III: ... Rua Abílio Alziro Brocker, S/N, Centro ... Capacidade: 10 pessoas.[ref_id:0] Abrigo IV: Localidade de Esperança ... Capacidade: 100 pessoas.[ref_id:2] Abrigo V: Localidade de São Pedro do Maratá ... Capacidade: 100 pessoas.[ref_id:2] População: 2.470 Habitantes.[ref_id:9]","alta",""
"Marau","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","ABRIGOS - 1 Tipo: GINASIO MUNICIPAL DE ESPORTES Nome: Ginasio Jatyr Francisco Foresti Endereço: Rua Rui Barbosa nr 01 Área disponível para alojamento(m²): 1200; ABRIGOS - 2 Tipo: PAVILHÃO AURELIO GIUSEPPE DILDA Nome: Parque de eventos Municipal Endereço: Rua Honorino Pereira Borges s/n Área disponível para alojamento(m²): 2000","alta",""
"Marcelino Ramos","verde","semáforo (verde/amarelo/vermelho)","sim","4.500","N/A","Quadro 7 - Cadastro de abrigos temporários ... Pavilhão da JOANPEPA (Paróquia São João Batista) Rua Rui Barbosa, 34, Centro. 1.800 ... Pavilhão da Comunidade Evangélica Edwin Pedro Kirst Rua Reinoldo Auler 1.700 ... Salão da Comunidade de São Caetano ERS 331 1.000 ... Os abrigos cadastrados tem capacidade de atender 4.500 (quatro mil e quinhentas) pessoas.","alta",""
"Mariana Pimentel","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","Indicar locais para abrigamento; Definir locais para abrigamento; Instalar abrigos temporários.","alta",""
"Marques de Souza","verde","semáforo (verde/amarelo/vermelho)","sim","1400","1655","Abrigo 01: Salão União Centenária — Capacidade: 500. Endereço: Rua General Osório, 888.[ref_id:0] Abrigo 02: Salão da OASE — Capacidade: 100. Endereço: Rua General Osório, 918.[ref_id:0] Abrigo 03: Ginásio Sociedade Escolar – C. Gomes — Capacidade: 500. Endereço: Rua Dora Antonieta Mertel, 434.[ref_id:0] Abrigo 04: Salão Comunidade Católica Tamanduá — Capacidade: 300. Endereço: Av. Expedicionários do Brasil.[ref_id:0] Total people listed in áreas de risco: 1,655 (Levantamento SGB).[ref_id:8]","alta",""
"Mata","verde","semáforo (verde/amarelo/vermelho)","sim","1060","5111","Lista De Abrigos ... Abrigo I ... Identificação: Ginásio Poliesportivo ... Endereço: Rua nossa Senhora das Graças ... Capacidade: 300 pessoas ... Abrigo II ... Identificação: Salão Paroquial ... Endereço: Rua da Matriz ... Capacidade: 250 pessoas ... Abrigo III ... Identificação: Escola Florismundo Eggres da Silva ... Endereço: Rua Presidente Vargas ... Capacidade: 200 pessoas ... Abrigo IV ... Identificação: Ctg Cancela da Tradição ... Endereço: Rua 15 de novembro ... Capacidade: 150 pessoas ... Abrigo V ... Identificação: Escola Dona Joaquina ... Endereço: Rua florismundo Eggres da Silva ... Capacidade: 160 pessoas ... Município de Mata/ RS ... População: 5.111","alta",""
"Mato Castelhano","verde","semáforo (verde/amarelo/vermelho)","sim","900","2553","Identificação: Ginásio Poliesportivo Municipal Antonio Raul Giraldi. Capacidade: 600 pessoas. Identificação: Salão comunitário da Capela São Roque. Capacidade: 300 pessoas.","alta",""
"Mato Leitão","verde","semáforo (verde/amarelo/vermelho)","sim","350","N/A","Identificação: Ginásio da EMEF Ireno Bohn ... Endereço: Rua Ervino leopoldo Kuhn 1231, centro ... Capacidade: 150 pessoas [ref_id:1] Abrigo II Identificação: Ginasio da EMEB Sto Antonio de Padua ... Endereço: Vila santo Antonio ... Capacidade: 200 pessoas [ref_id:1]","alta",""
"Maximiliano de Almeida","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","4.191","ABRIGO 01 ... Nome: Centro de Eventos Esportivos Maisson Rodrigo Ceriotti ... Endereço: Rua da Misericórdia ... Área disponível para alojamento(m*): 631; ABRIGO 02 ... Nome: Comunitário ... Endereço: Avenida Porto Alegre ... Area disponível para alojamento(m?): 900m²; População: 4.191","alta",""
"Minas do Leão","verde","semáforo (verde/amarelo/vermelho)","sim","700","7505","Lista De Abrigos ... Abrigo I Identificação: CIA Centro Integrado do Alunado ... Endereço: Érico Valença, centro, 65 ... Capacidade: 100 pessoas ... Abrigo II Identificação: Ginásio de Esportes ... Capacidade: 200 pessoas ... Abrigo III ... Capacidade: 200 pessoas ... Abrigo IV ... Capacidade: 150 pessoas ... Abrigo V ... 3 Escolas Municipais ... Capacidade: 50 pessoas em cada uma ... População: 7.505","alta",""
"Montenegro","verde","semáforo (verde/amarelo/vermelho)","sim","195","63.624","Lista de Abrigos ... Abrigo I Identificação: Ginásio Domingão ... Capacidade: 120 pessoas ... Abrigo II ... Capacidade: 60 pessoas ... Abrigo III ... Capacidade: 15 pessoas ... O município se estende por 424 km² e contava com 63.624 habitantes no último censo.","alta",""
"Mormaço","vermelho","semáforo (verde/amarelo/vermelho)","nao","N/A","368","População Tipo Quantidade Complemento Família 368 Famílias inscritas no Programa CAD Único","alta",""
"Morro Redondo","verde","semáforo (verde/amarelo/vermelho)","sim","450","N/A","Abrigo I Identificação: E.M.E.F. Alberto Cunha Endereço: Rua das Azaleias nº 25 ... Capacidade: 200 pessoas[Abrigo II] ... Capacidade: 100 pessoas[Abrigo III] ... Capacidade: 150 pessoas","alta",""
"Morro Reuter","verde","semáforo (verde/amarelo/vermelho)","sim","1000","6029","Identificação: Ginásio Municipal de Esportes Endereco: Travessa 1º de Maio ... Capacidade: 1000 pessoas","alta",""
"Muliterno","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","1.721","4.1 Abrigos:  Salão Comunitário Santo Antônio de Muliterno …  Ginásio Escola Estadual Raimundo Pelissaro …  Ginásio Esporte Clube Juventude","alta",""
