"municipio","valor","unidade","apenas_previsto","evento_real_nao_simulado","evidencia","confianca","erro"
"Fontoura Xavier","vermelho","semáforo (verde/vermelho)","sim","sim","No documento o termo ""simulado"" ou registro de exercício realizado com data/ata/relatório ou número de participantes não é apresentado; o plano descreve que ""Durante o período chuvoso, a Defesa Civil Municipal monitora a previsão do tempo"" e prevê ações como ""Remoção de Famílias em risco eminente"" e procedimentos de alerta/acionamento, e relata evento real: ""foi decretada Situação de Calamidade... em maio de 2024"" indicando resposta a evento real, não descrição de simulado realizado[ref_id:1][ref_id:5][ref_id:13]","alta",""
"Formigueiro","vermelho","semáforo (verde/vermelho)","sim","nao","seções do plano descrevem quando deve ser desencadeado e áreas de risco; não há menção a simulado realizado com data, ata ou relatório — por exemplo: 'Quando deve ser desencadeado? ... quando ocorrerem condições de risco ou eventos (chuva intensa, granizo, vento forte ou temporais) que obriguem pessoas a serem evacuadas ou deslocadas.'","alta",""
"Forquetinha","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção de simulado realizado; o documento traz exigências/rotinas e ativação do plano (ex.: ""Tendo-se como premissa o acompanhamento constante... fica estabelecido que o Plano de Contingência será efetivamente ativado após consolidadas as fases de Alerta e Alarme."") [ref_id:1]","alta",""
"Fortaleza dos Valos","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção de simulado realizado; o texto usa linguagem de acionamento e ações a serem desenvolvidas (ex.: ""Quando o plano será acionado?""; ""Este Plano ... será desencadeado em situação crítica e emergencial"") e instruções para ações (ex.: ""5.2 - Retirar as pessoas e encaminhar para abrigo seguro"") [ref_id:0][ref_id:3]","alta",""
"Gaurama","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulado/treinamento já realizado; o texto descreve procedimentos de evacuação e que ""Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes."" e orientações para ativação do plano, sem ata, data de realização, relatório ou número de participantes referentes a um simulado realizado.","alta",""
"Gentil","vermelho","semáforo (verde/vermelho)","sim","nao","""Este Plano foi desenvolvido a partir das análises de risco..."" e trechos que descrevem procedimentos e responsabilidades, sem indicar realização de simulados: não há menção a simulado realizado, ata, relatório ou número de participantes no documento recuperado.","alta",""
"Getúlio Vargas","vermelho","semáforo (verde/vermelho)","nao","nao","NÃO há menção a simulado realizado; o documento descreve procedimentos, responsabilidades, lista de abrigos e recursos, sem ata, data de simulado, relatório ou número de participantes","alta",""
"Glorinha","vermelho","semáforo (verde/vermelho)","sim","nao","""confeccionar o Plano de Contingência e seu simulado.""[ref_id:0] ""Ainda é uma atribuição do município estabelecida ... confeccionar o Plano de Contingência e seu simulado.""[ref_id:1]","alta",""
"Gramado Xavier","vermelho","semáforo (verde/vermelho)","sim","nao","“5.3 – Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes.” [ref_id:0] ""Após a decisão formal de ativar o Plano, as seguintes medidas serão desencadeadas: • O COMPDEC ativará o plano de chamada, a sala de situação e a compilação das informações delineadas."" [ref_id:1] ""PLANO DE CONTINGÊNCIA ... MAIO/2025."" (data do documento) [ref_id:2]","alta",""
"Gravataí","vermelho","semáforo (verde/vermelho)","sim","nao","""Para melhoria do Plano de Contingência, os órgãos envolvidos na sua elaboração e aplicação deverão realizar exercícios simulados conjuntos uma vez ao ano, sob a coordenação da Coordenadoria Municipal de Proteção e Defesa Civil, emitindo relatório ao final""","alta",""
"Guaíba","vermelho","semáforo (verde/vermelho)","sim","nao","“Além disso, devem ser realizados exercícios simulados conjuntos, com, pelo menos, uma edição anual em como prevê a Lei N° 12.608 de 10 de abril de 2012.” [ref_id:0] ""A evacuação é acionada sempre pelo Prefeito ou o Coordenador da COMDEC..."" (descrição de acionamento real no evento) [ref_id:2]","alta",""
"Harmonia","vermelho","semáforo (verde/vermelho)","sim","nao","""o PLACON prevê o método de atuação...""; ""Compdec- Ativação do plano de emergência para retirar população das áreas de risco, ativando forças emergências de socorro às vítimas""","alta",""
"Herval","vermelho","semáforo (verde/vermelho)","sim","N/A","Não há menção a simulado realizado; o plano lista ações (5.1–5.5) e orientações, e contém identificação de abrigos e recursos, mas não descreve ""foi realizado o simulado"" nem ata/relatório/nº de participantes [ref_id:0][ref_id:2][ref_id:4][ref_id:3][ref_id:5][ref_id:1]","alta",""
"Herveiras","vermelho","semáforo (verde/vermelho)","sim","nao","“Plano de evacuação definido e ensaiado periodicamente.” e “Treinar as equipes municipais e brigadas voluntárias para resposta a vazamentos, incêndios e evacuação.”","alta",""
"Ibarama","vermelho","semáforo (verde/vermelho)","nao","nao","Não há no documento menção de que ""foi realizado o simulado"" nem ata/relatório ou número de participantes; o Plano contém ações, listas de abrigos, recursos e instrução para realização de ações (ex.: itens 5.1–5.9 sobre acolhimento, distribuição e plantão de saúde) e indicação de aprovação em 22/05/2024, sem registro de simulado realizado [ref_id:1][ref_id:3][ref_id:8]","alta",""
"Ibiaçá","vermelho","semáforo (verde/vermelho)","nao","nao","não menciona realização de simulados; contém ações a serem desenvolvidas como ""5. Que ações devem ser desenvolvidas: ... 5.1–5.7"" e orientações para ""organizar... busca, salvamento e evacuação"" e indica recursos/contatos, mas não há frase do tipo ""foi realizado o simulado em <data>"", ata ou relatório com número de participantes nos documentos recuperados.","alta",""
"Ibiraiaras","vermelho","semáforo (verde/vermelho)","sim","nao","“5.1 Prevenção/Monitoramento/Observação: ... public information and awareness campaigns ...” e “o Plano poderá ser revisto anualmente ou sempre que necessário” — não há indicação de simulado realizado, apenas ações a desenvolver e previsão de revisão/ações futuras; registro de aprovação em reunião COMDEC em 12 de dezembro de 2017.” [ref_id:5][ref_id:6]","alta",""
"Ibirapuitã","vermelho","semáforo (verde/vermelho)","sim","nao","“8. TREINAMENTOS E SIMULAÇÕES • Realização de exercícios semestrais de emergência • Capacitação das equipes técnicas e voluntárias • Programas de conscientização comunitária”","alta",""
"Ibirubá","vermelho","semáforo (verde/vermelho)","nao","N/A","Não há menção no plano a simulado efetivamente realizado; documento inclui identificação de ações como ""5.1 Evacuação"" em quadro de responsabilidades e capa datada ""JULHO / 2023"", sem indicação de ata, relatório, data de realização ou número de participantes de um simulado realizado no passado","alta",""
"Igrejinha","vermelho","semáforo (verde/vermelho)","sim","nao","Além disso, devem ser realizados exercícios simulados conjuntos, com pelo menos uma edição anual em Igrejinha como prevê a Lei Nº 12.608, de 10 de Abril de 2012.","alta",""
"Ilópolis","vermelho","semáforo (verde/vermelho)","nao","nao","O documento lista ações, organização, áreas de risco e recursos, mas não registra nenhum ""simulado"" realizado nem data/ata/relatório de exercício; ex.: ""Que ações devem ser desenvolvidas: 5.1–5.6 ..."" e o documento contém formulário/identificação de pessoas e recursos datado ""Ilópolis, outubro de 2025"" sem mencionar simulado realizado","alta",""
"Imigrante","vermelho","semáforo (verde/vermelho)","sim","nao","""O referido plano deverá ser acionado em cenários adversos, que causam danos sociais e de riscos a desastres."" [ref_id:3] ""6. Identificação das Pessoas:"" (lista de responsáveis) — não há menção de simulado realizado ou ata/relatório/participantes no documento recuperado. [ref_id:2][ref_id:0]","alta",""
"Ipiranga do Sul","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção de simulado realizado; o documento descreve ações (ex.: ""5.3 — Evacuação; assistência a vítimas com registro...""), planejamento, responsáveis e abrigos, e contém instruções de acionamento do plano, mas não relata realização de exercício, ata, data ou número de participantes — ex.: ""Quando deve ser desencadeado... COMDEC irá ativar procedimentos de chamada e o posto de comando...""","alta",""
"Itaara","vermelho","semáforo (verde/vermelho)","nao","N/A","N/A","alta",""
"Itapuca","vermelho","semáforo (verde/vermelho)","sim","N/A","O documento descreve procedimentos, contatos, acionamento e recursos do plano de contingência, mas não relata realização de exercício/simulado com data/relatório/ata ou número de participantes; exemplos de trechos: ""Quando deve ser desencadeado"" (ativação do COMDEC) e seções de recursos/abrigos/alertas, sem menção a simulado realizado.","alta",""
"Ivorá","vermelho","semáforo (verde/vermelho)","sim","N/A","""Plano de Contingência... elaborado previamente para facilitar o atendimento em situação de emergência, minimizar os efeitos e estabelecer procedimentos das instituições responsáveis pela resposta e operacionalizar/recomendar/ padronizar as atividades de monitoramento, alerta e resposta""","alta",""
"Ivoti","vermelho","semáforo (verde/vermelho)","sim","nao","""O Plano Municipal de Contingência de Ivoti tem como finalidade principal, orientar as ações de preparação e resposta às emergências e desastres..."" e seções listam procedimentos, acionamentos e evacuação, sem indicação de simulado realizado (apenas previsão/estrutura) [ref_id:2][ref_id:0]","alta",""
"Jacuizinho","vermelho","semáforo (verde/vermelho)","nao","nao","Documento contém ações previstas como ""5.1 Evacuação da área de risco"" e indicação de ativação do plano quando ocorrerem desastres, e não há texto afirmando que um simulado foi realizado (não há frase tipo ""foi realizado o simulado em <data>"", ata ou relatório de participantes)"" [ref_id:2][ref_id:0]","alta",""
"Jaguari","vermelho","semáforo (verde/vermelho)","nao","sim","cotas máximas históricas: 1984 atingiu 15,70mts, 2024 atingiu 13,80mts e 2025 atingiu 13 mts .","alta",""
"Jaguarão","vermelho","semáforo (verde/vermelho)","sim","nao","“Além disso, devem ser realizados exercícios simulados conjuntos, com pelo menos uma edição anual em Jaguarão como prevê a Lei Nº 12.608, de 10 de abril de 2012.” [ref_id:1]","alta",""
"Jari","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção de simulado/treinamento realizado; o documento descreve procedimentos e que ""O Plano de Contingência ... será ativado"" e lista ações/atribuições dos órgãos, sem indicar que ""foi realizado o simulado"" nem apresentar ata/relatório ou nº de participantes.","alta",""
"Júlio de Castilhos","vermelho","semáforo (verde/vermelho)","sim","nao","7 - AÇÕES QUE DEVERÃO SER DESENVOLVIDAS: (tabela contendo ações e responsáveis)"" e trecho ""Prevenção"" que menciona ""treinamento de agentes de defesa civil"" como ação preventiva — não há menção a simulado efetivamente realizado, data, ata ou relatório","alta",""
"Lagoa Bonita do Sul","vermelho","semáforo (verde/vermelho)","sim","N/A","Section 5 (Que ações devem ser desenvolvidas?): heading asking what actions should be developed; a short note mentions activities/actions to be detailed in a following table.[ref_id:0][ref_id:1]","alta",""
"Lagoa Vermelha","vermelho","semáforo (verde/vermelho)","nao","nao","NÃO menciona realização de simulado: plano descreve atividades, estoques, alarmes e acionamento, mas não apresenta frase do tipo ""foi realizado o simulado em <data>"", ata ou relatório de simulado realizado","alta",""
"Lagoa dos Três Cantos","vermelho","semáforo (verde/vermelho)","nao","nao","""DOCUMENTOS: Nenhum documento foi anexado."" [ref_id:1]","alta",""
"Lagoão","vermelho","semáforo (verde/vermelho)","sim","N/A","5.3 - Evacuação; assistência às vítimas com cadastramento via Secretaria Municipal da Assistência Social e alojamento em abrigos e casas de parentes.","alta",""
"Lajeado","vermelho","semáforo (verde/vermelho)","sim","nao","“Acionar as equipes voluntárias; Ao final do evento, promover reunião com todos os secretarios na sede da Defesa Civil para entrega de relatórios e ajustes do protocolo; Após o evento, cada secretaria deverá fornecer relatório das ações realizadas, bem como sugestões de melhora.” [ref_id:4][ref_id:3]","alta",""
"Lindolfo Collor","vermelho","semáforo (verde/vermelho)","nao","sim","Descrição: Equipe tecnica da Assistencia Social e Defesa Civil fez levantamento dos locais atingidos. / Descrição: Remover moradores em situação de emergencia / Procedimento: Bombeiros, defesa civil e voluntarios trabalhando na remoção de moradores em situação de risco.","alta",""
"Linha Nova","vermelho","semáforo (verde/vermelho)","sim","nao","""Treinar equipes de resposta e realizar exercícios simulados"" [ref_id:11]","alta",""
"Machadinho","vermelho","semáforo (verde/vermelho)","sim","nao","""No ano de 2024, serão realizados testes externos com a população."" [ref_id:6]","alta",""
"Maratá","vermelho","semáforo (verde/vermelho)","sim","nao","O documento descreve orientações e previsões de realização de ações e monitoramento, mas não relata simulado realizado no passado nem ata/relatório/número de participantes: ""Que ações devem ser desenvolvidas"" (lista de orientações) e ""o plano será revisado anualmente..."" (vigência/revisões) — não há frase do tipo ""foi realizado o simulado em <data>"" nem atas/relatórios de exercício.","alta",""
"Marau","vermelho","semáforo (verde/vermelho)","sim","sim","No mês de setembro de 2023, nosso Município decretou situação de emergência em razão das chuvas intensas. Tivemos desabrigados e desalojados, além de grandes prejuízos materiais.","alta",""
"Marcelino Ramos","verde","semáforo (verde/vermelho)","nao","nao","""Na data de 22 de junho de 2024, foi executado um simulado, na comunidade de Linha São Paulo, em Piratuba /SC."" [ref_id:0]","alta",""
"Mariana Pimentel","vermelho","semáforo (verde/vermelho)","sim","nao","O documento apresenta diretrizes, atribuições e procedimentos e usa linguagem de previsão/obrigação (ex.: ""Estabelecer os roteiros alternativos de deslocamento das equipes, do Plano de Contingência;"", ""Indicar locais para abrigamento;"") e não contém menção a simulado realizado com data, ata, relatório ou número de participantes no texto recuperado.","alta",""
"Marques de Souza","vermelho","semáforo (verde/vermelho)","sim","nao","O documento orienta procedimentos e rotinas de resposta e menciona treinamentos/simulados apenas como obrigação/planejamento — por exemplo: ""Objetivos do Plano de Contingência: ... prevenção, preparação, resposta e recuperação (PEPDEC 2024)."" e o plano descreve rotas de fuga, abrigos, equipe e atribuições, mas não traz registro de data/ata/relatório/nº de participantes de um simulado realizado no passado; não há menção de ""foi realizado o simulado em"" nem ata ou relatório de exercício realizado nos documentos fornecidos"" [ref_id:0][ref_id:1][ref_id:4]","alta",""
"Mata","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulado/treinamento efetivamente realizado com data, ata, relatório ou número de participantes no documento; aparecem apenas procedimentos, responsabilidades, abrigos e referências a eventos passados (ex.: ""Em 2017 foi atingida por vendaval."") [ref_id:0][ref_id:1]","alta",""
"Mato Castelhano","vermelho","semáforo (verde/vermelho)","sim","sim","O documento descreve eventos reais (ex.: ""Um exemplo grave ocorreu em 2023, quando, em razão das chuvas intensas ... o Rio Piraçuce transbordou, ..."" ) e indica procedimentos e ativações previstas/obrigatórias (ex.: ""A ativação do PLANCON será determinada formalmente pelo Coordenador Municipal...""; ""será realizada via rádio, carros de som, site oficial e redes sociais"").","alta",""
"Mato Leitão","vermelho","semáforo (verde/vermelho)","sim","nao","O documento menciona ações de evacuação e procedimentos a serem desenvolvidos, mas não relata realização de simulados/treinamentos: ""5.3 Evacuação : assistência as vitimas via Secretaria de Assistência Social , alojamento em abrigos e casa de parentes caso necessário"" e não há frases como ""foi realizado o simulado"" nem atas/relatórios ou nº de participantes no texto recuperado","alta",""
"Maximiliano de Almeida","vermelho","semáforo (verde/vermelho)","sim","nao","“O PLANCON será ativado sempre que forem constatadas as condições e pressupostos... O plano indica o que está previsto ser feito, em caso de necessidade.”","alta",""
"Minas do Leão","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção a simulado/treinamento efetivamente realizado; o documento descreve ações e procedimentos (ex.: ""5. Que ações devem ser desenvolvidas"") e responsabilidades, sem ata, data de realização, relatório ou número de participantes que comprovem simulado realizado.","alta",""
"Montenegro","vermelho","semáforo (verde/vermelho)","sim","nao","Deverão ser acionadas as equipes e instituições, conforme a necessidade pela COMDEC no momento da realização da cinemática local.","alta",""
"Mormaço","vermelho","semáforo (verde/vermelho)","sim","nao","""O presente Plano foi elaborado ... estabelecer os procedimentos a serem adotados ... realizar as ações para a criação e manutenção das condições necessárias""; ""O PLANCON será ativado sempre que forem constatadas as condições e pressupostos que caracterizam um dos cenários de risco previstos""","alta",""
"Morro Redondo","vermelho","semáforo (verde/vermelho)","sim","nao","O documento indica diretrizes sobre simulados/ativação do plano com frases de obrigação e ativação do plano, mas não apresenta registro de realização: ex.: ""O Plano será ativado sempre que forem constatadas as condições e pressupostos..."" e o plano descreve fases e responsabilidades sem ata/relatório/registro de simulado realizado.","alta",""
"Morro Reuter","vermelho","semáforo (verde/vermelho)","sim","nao","""Este plano tem por objetivo: - Definir ações emergenciais a serem tomadas em caso de risco à população.""[ref_id:0] ""Quando o plano será acionado? ... Esse plano deverá ser desencadeado em situação crítica e emergencial... A partir do momento em que se gera um alerta de uma situação de desastre, emergência e calamidade pública ...""[ref_id:1]","alta",""
"Muliterno","vermelho","semáforo (verde/vermelho)","sim","nao","“Promover simulados com fins a preparar as ações de resposta.” [ref_id:0] Não há menção de simulado efetivamente realizado com data, ata, relatório ou número de participantes no documento recuperado; o texto apenas orienta promover simulados (previsto). [ref_id:2][ref_id:3]","alta",""
"Nicolau Vergueiro","vermelho","semáforo (verde/vermelho)","nao","nao","NÃO há menção a simulado realizado; o documento contém orientações sobre acionamento do plano e riscos comuns, mas não relata ""foi realizado o simulado"", ata, relatório ou número de participantes","alta",""
"Nova Alvorada","vermelho","semáforo (verde/vermelho)","sim","nao","""Nova Alvorada, 29 de maio de 2025.""","alta",""
"Nova Bréscia","vermelho","semáforo (verde/vermelho)","sim","nao","O Plano descreve ações e responsabilidades e menciona monitoramento/alerta e retirada das famílias, mas não apresenta registro de simulado realizado; ex.: ""5.1 Monitoramento/alerta""; ""5.2 Retirada das famílias se houver necessidade""; e o documento é um PLANO DE CONTINGÊNCIA datado JULHO / 2025 sem ata, relatório ou indicação de que um simulado já foi realizado.","alta",""
"Nova Esperança do Sul","vermelho","semáforo (verde/vermelho)","sim","nao","5.1 Emitir Alertas e Alarme; 5.2 Socorro e Auxílio às pessoas atingidas; 5.3 Reabilitação dos cenários; 5.4 Redução dos danos e prejuízos; 5.5 Organização de documentação referente ao evento","alta",""
"Nova Hartz","vermelho","semáforo (verde/vermelho)","sim","nao","“5.3 Treinamento com alunos e professores, nas redes de ensino, para uma possível evasão.”","alta",""
"Nova Palma","vermelho","semáforo (verde/vermelho)","sim","nao","O documento lista ações e responsabilidades incluindo ""evacuar pessoas de áreas de risco (resgate, atendimento pré‑hospitalar e retirada/evacuação)"" e recomenda ""recomenda revisão periódica""; não há menção de simulado realizado com data, ata, relatório ou número de participantes nos documentos recuperados (ex.: itens de ações 5.1–5.9 e 6.1–6.24) [ref_id:0][ref_id:2][ref_id:1][ref_id:5]","alta",""
"Nova Santa Rita","vermelho","semáforo (verde/vermelho)","sim","nao","""chama para realização de reuniões periódicas entre os órgãos participantes para aperfeiçoamento das ações e para a realização de exercícios conjuntos de simulação, conforme Lei Nº 12.608, de 10 de Abril de 2012."" [ref_id:1] ""O Plano... define procedimentos a serem adotados pelos órgãos envolvidos na resposta... cita base legal (Lei nº 12.608, 10 de Abril de 2012) que exige planos e simulações."" [ref_id:0]","alta",""
"Novo Cabrais","vermelho","semáforo (verde/vermelho)","sim","nao","O Plano indica procedimentos e responsabilidades e diz que o Plano será ativado pelo Prefeito e/ou Coordenador quando constatadas as condições que caracterizam cenários de risco... (ativação por ocorrência de evento adverso inundação/alagamento, enxurrada, vendaval)"" e contém instruções gerais e listas de recursos/abrigos, mas não apresenta ata, relatório, data ou número de participantes de um simulado realizado no passado.","alta",""
"Novo Hamburgo","vermelho","semáforo (verde/vermelho)","sim","sim","“É uma atribuição do município estabelecido na Lei Nº 12.608, de 10 de Abril de 2012, confeccionar o Plano de Contingência e seu simulado.” [ref_id:0] ""Este Plano de Contingência contempla ações com base em informações e levantamento de dados referente a inundações de maio de 2024, danos humanos e materiais..."" [ref_id:3]","alta",""
"Não-Me-Toque","vermelho","semáforo (verde/vermelho)","sim","nao","""Nenhum documento foi anexado."" [ref_id:0][ref_id:2] e ações listadas como responsabilidades/atividades a serem desenvolvidas (ex.: ""Açôês a serêm desê$/olüdas"" / ""Dispor de veículos para transporte...""), sem menção a simulado já realizado ou ata/relatório/ data de exercício realizado. [ref_id:2][ref_id:1]","alta",""
"Paim Filho","vermelho","semáforo (verde/vermelho)","sim","nao","“O Plano de Contingência ... visa facilitar respostas às situações de socorro” e trechos que usam linguagem de obrigatoriedade/previsão como ""deverão""/""serão desencadeadas"" e não apresentam ata, relatório, data de realização ou número de participantes; não há menção de simulado realizado no passado no documento recuperado","alta",""
"Pantano Grande","vermelho","semáforo (verde/vermelho)","nao","nao","NÃO há menção no documento recuperado a um ""simulado"" efetivamente realizado com data, ata, relatório ou número de participantes; o plano descreve objetivos, quem aciona e quando deve ser desencadeado, sem relatar exercício realizado","alta",""
"Paraíso do Sul","vermelho","semáforo (verde/vermelho)","sim","N/A","O documento descreve treinamento e preparação (""preparar e manter condições necessárias, apoiar resgates, resposta e reconstrução através de treinamento, preparação de recursos e coordenação"") e ações a serem desenvolvidas (""Convocar órgãos..., preparar instalações para emergência; elaborar boletins...; fazer levantamento de abrigos e necessidades""), mas não apresenta declaração de simulado efetivamente realizado, ata, relatório ou data de exercício realizado.","alta",""
"Pareci Novo","vermelho","semáforo (verde/vermelho)","sim","nao","O documento contém instruções sobre ativação do plano e responsabilidades e várias menções a ações (remoção de pessoas, organização de abrigos, mobilizar recursos), mas não descreve nenhum ""simulado"" efetivamente realizado; trechos relevantes: ""ATIVAÇÃO DO PLANO"" (quando deve ser desencadeado?) e lista de ações operacionais/recursos sem ata, data, relatório ou número de participantes de exercício/treinamento apresentados","alta",""
"Parobé","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulados realizados; o documento usa linguagem de ação e previsão (ex.: ""deverá ser encaminhado a Defesa Civil - DC em 5 dias após o incidente"") e descreve ações de resposta a desastres (ex.: ""É realizado pelo Corpo de Bombeiros, Brigada Militar e servidores do município""), sem indicação de simulado/treinamento realizado com data, ata, relatório ou número de participantes.","alta",""
"Passa Sete","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulado realizado; o documento descreve medidas, formação de força-tarefa e orientações/prevenções e lista recursos e contatos (ex.: ""formando força-tarefa para socorro imediato em desastres"", ""trabalho de prevenção e conscientização""), sem indicar data/ata/relatório ou número de participantes de um simulado realizado. [ref_id:1][ref_id:0][ref_id:6]","alta",""
"Passo Fundo","vermelho","semáforo (verde/vermelho)","sim","nao","“Para a melhoria do plano Municipal de Contingência ... realizarão, anualmente, exercícios simulados conjuntos, sob a coordenação da Coordenadoria Municipal de Proteção e Defesa Civil (COMPDEC), mediante autorização do Prefeito Municipal, emitindo Relatório final...” [ref_id:0]","alta",""
"Passo do Sobrado","vermelho","semáforo (verde/vermelho)","sim","N/A","Documento apresenta ações a serem desenvolvidas (ex.: ""5.1 Acionamento do Plano de Contingência; 5.2 Verificar danos humanitários; 5.3 Verificar danos em estradas, rodovias, pontes; 5.4 Prestar assistência às vítimas."") e listas de abrigos/recursos, sem menção a simulado realizado, ata, relatório ou número de participantes.","alta",""
"Paverama","vermelho","semáforo (verde/vermelho)","sim","nao","“Após a decisão formal de ativação do Plano, as seguintes medidas serão imediatamente desencadeadas...” [ref_id:0][ref_id:1] — e não há menção a simulado efetivamente realizado com data, ata, relatório ou nº de participantes no documento recuperado; o texto descreve procedimentos, ativação e responsabilidades, além de abrigos e recursos, mas não relata que um simulado foi realizado no passado.","alta",""
"Pedras Altas","vermelho","semáforo (verde/vermelho)","sim","nao","“Com base nas informações contidas nos relatórios, os órgãos participantes reunir-se-ão para elaborar a revisão do plano, lançando uma nova versão, que deverá ser distribuídas aos órgãos de interesse.” [ref_id:2]","alta",""
"Pedro Osório","vermelho","semáforo (verde/vermelho)","N/A","N/A","NÃO encontrado no documento recuperado qualquer registro de simulado/exercício de evacuação realizado (ata, relatório, data ou nº de participantes). O plano recuperado contém capa e dados cadastrais do Município de PEDRO OSÓRIO/RS, sem menção a simulados realizados.","alta",""
"Pelotas","vermelho","semáforo (verde/vermelho)","sim","nao","Texto apresenta procedimentos, responsabilidades, protocolos e indicação de que órgãos ""acionarão"" protocolos, salas de operações e realização de vistorias, mas não registra frase afirmando que ""foi realizado o simulado"" nem ata/relatório/nº de participantes. Ex.: ""o Gabinete da Prefeita, via Defesa Civil, acionará a chamada, o posto de comando e compilará informações para as equipes, e que órgãos mobilizados ativarão seus protocolos internos."" [ref_id:22] e ""a sala de operações recebe pedidos, pode despachar a equipe de vistoria..."" [ref_id:2][ref_id:21]","alta",""
"Pinhal Grande","vermelho","semáforo (verde/vermelho)","sim","nao","O documento indica medidas e responsabilidades e prevê ações (ex.: ""Que ações devem ser desenvolvidas? (O quê?)"" e itens 5.1–5.5) e contém data do plano (setembro de 2025) mas não apresenta texto afirmando que um simulado/treinamento foi efetivamente realizado com data, ata, relatório ou número de participantes; não há menção como ""foi realizado o simulado em <data>"" nem ata/relatório de exercício realizado.","alta",""
"Pinheiro Machado","vermelho","semáforo (verde/vermelho)","sim","nao","Seção 5 — 'Que ações devem ser desenvolvidas' lista ações como 5.1 Contato imediato..., 5.3 Locomoção imediata ao local do sinistro; não há menção a simulado realizado, ata, relatório ou número de participantes nos documentos do Plano Municipal de Contingência de Pinheiro Machado.","alta",""
"Piratini","vermelho","semáforo (verde/vermelho)","nao","nao","não menciona simulados realizados, apresenta seções de ativação, responsabilidades, abrigos e recursos, e itens como 'Quando deve ser desencadeado' e 'Recursos Mínimos Previstos' sem qualquer registro de data, ata, relatório ou número de participantes de simulado realizado","alta",""
"Porto Alegre","vermelho","semáforo (verde/vermelho)","sim","nao","“Realizar simulados de evacuação e salvamento em embarcações, com treinamento de tripulação e apoio de CBMRS e SAMU (2025);”[ref_id:0][ref_id:4]","alta",""
"Portão","vermelho","semáforo (verde/vermelho)","sim","nao","8.1. Validação e Exercícios Simulados (sumário) e trechos que indicam obrigação/planejamento: ""8. DISPOSIÇÕES FINAIS 8.1. Validação e Exercícios Simulados"" e procedimental: ""Para melhoria do Plano ... os órgãos envolvidos ... deverão participar de reuniões ordinárias permitindo afinar as ações e discutir e alterar o planejamento.""","alta",""
"Pouso Novo","vermelho","semáforo (verde/vermelho)","nao","sim","Histórico de eventos adversos e desastres no município: 2010 Enchente na comunidade de Barra do Fão; 2024 Deslizamentos de encosta na rodovia 386, provocando interdição; 2024 Enchente na comunidade de Barra do Fão; 2024 Desabamento de três residências, chuva erodiu a encosta; 2024 Ponte de Arroio Leite danificada devido enchente; 2024 Ponte de Barra do Fão danificada devido enchente","alta",""
"Poço das Antas","vermelho","semáforo (verde/vermelho)","nao","N/A","Não há menção a simulado/treinamento realizado; conteúdos recuperados incluem plano de contingência (capa 2025) e seção de recursos e vulnerabilidades, sem ata, data de simulado, relatório ou número de participantes nos trechos disponíveis: ""PLANO MUNICIPAL DE CONTINGÊNCIA"" (capa) [ref_id:1] e página ""5.2. Inundação..."" com recursos disponíveis e identificação de vulnerabilidade, sem registro de exercício realizado [ref_id:0][ref_id:2]","alta",""
"Presidente Lucena","vermelho","semáforo (verde/vermelho)","sim","nao","Não há menção a simulado realizado; o plano lista ações e prever uso de abrigo/veículos em alagamento e distribuição de lonas em destelhamento (ex.: ""5.1: Em caso de destelhamento, distribuição de lonas...""; ""5.2: Em caso de alagamento, disponibilização de veículos...""), e capa indica data do plano (""AGOSTO/2017. Atualizado em fevereiro/2025"").","alta",""
"Progresso","vermelho","semáforo (verde/vermelho)","nao","sim","Documentos descrevem ações de socorro, coordenação e relatos de pontes e estradas interditadas por transbordamentos (ex.: ""ponte ... interditada; arroio ... transbordou, removendo cabeceiras e bloqueando o tráfego"") e instruções de acionamento do plano, mas não há menção de simulado/treinamento realizado com data, ata, relatório ou número de participantes; as páginas listam ações desenvolvidas como ""Acionar motoristas e operadores para prestar socorro imediato e desobstruir locais interditados"" e relatam ocorrências reais nas localidades (ex.: ""Arroio Chico Mariano transbordou, removendo cabeceiras e bloqueando o tráfego"").","alta",""
"Putinga","vermelho","semáforo (verde/vermelho)","sim","N/A","O documento é um ""PLANO DE CONTINGÊNCIA"" que descreve objetivos e procedimentos para resposta a eventos (seca, vendaval, granizo, alagamentos e enchentes) e contém assinaturas; não há menção a simulado/treinamento efetivamente realizado com data, ata, relatório ou número de participantes nos trechos recuperados.","media",""
